coord_x,coord_y,coord_x.1,coord_y.1,skeleton_length,dipole,density_200,density_500,density_800,density_1000,density_1200,density_1500,density_2000,grad_200,grad_500,grad_800,grad_1000,grad_1200,grad_1500,grad_2000,lap_200,lap_500,lap_800,lap_1000,lap_1200,lap_1500,lap_2000,count_200,count_500,count_800,count_1000,count_1200,count_1500,count_2000
300.0,3500.0,211.0,1798.0,14.0,0.0089384374793117,0.0,0.0,0.0,3.183098861837907e-07,2.2104853207207685e-07,1.414710605261292e-07,4.77464829275686e-07,0.0,17.2463206339,39.0748106922,60.3526465022,96.8713721722,156.9719515956,273.0701749047,0.0,-20.0,-44.0,-67.9999984375,-107.9999984375,-175.99999843749998,-303.9999967359862,0.0,0.0,0.0,1.0,1.0,1.0,6.0
500.0,1300.0,310.0,660.0,39.0,0.0182612163759984,0.0,1.2732395447351628e-06,4.973591971621729e-07,3.183098861837907e-07,4.420970641441537e-07,4.244131815783876e-07,6.366197723675814e-07,0.0,17.2463162145,39.0748062728,60.3526431876,96.8713681505,156.971946968,273.0701702487,0.0,-19.99999375,-43.99999375,-67.99999375,-107.99999275,-175.9999921402439,-303.9999904171972,0.0,1.0,1.0,1.0,2.0,3.0,8.0
700.0,6500.0,381.0,3345.0,31.0,0.0287063070485297,0.0,0.0,0.0,3.183098861837907e-07,4.420970641441537e-07,1.1317684842090337e-06,8.753521870054244e-07,0.0,17.2463206339,39.0748106922,60.3526464212,96.8713713779,156.9719480759,273.0701721685,0.0,-20.0,-44.0,-67.99999875,-107.99999801470588,-175.99999470751095,-303.9999937602855,0.0,0.0,0.0,1.0,2.0,8.0,11.0
700.0,7900.0,366.0,4069.0,43.0,0.0140576964341433,0.0,1.2732395447351628e-06,4.973591971621729e-07,3.183098861837907e-07,2.2104853207207685e-07,2.829421210522584e-07,3.978873577297384e-07,0.0,17.2463029562,39.0747930145,60.3526299294,96.8713555994,156.9719346621,273.0701587085,0.0,-19.999975,-43.999975,-67.999975,-107.999975,-175.99997448979593,-303.99997354592745,0.0,1.0,1.0,1.0,1.0,2.0,5.0
900.0,1300.0,522.0,644.0,79.0,0.090740943015209,0.0,1.2732395447351628e-06,9.947183943243459e-07,6.366197723675814e-07,8.841941282883074e-07,9.902974236829044e-07,7.957747154594768e-07,0.0,17.2463162145,39.0748043086,60.3526412234,96.8713653878,156.9719433413,273.070167355,0.0,-19.99999375,-43.99999097222222,-67.99999097222222,-107.99998937485914,-175.99998785776512,-303.9999868785874,0.0,1.0,2.0,2.0,4.0,7.0,10.0
900.0,7900.0,468.0,4087.0,14.0,0.0573366733411,0.0,1.2732395447351628e-06,4.973591971621729e-07,3.183098861837907e-07,2.2104853207207685e-07,4.244131815783876e-07,4.77464829275686e-07,0.0,17.2463029562,39.0747930145,60.3526299294,96.8713555994,156.9719340958,273.0701582227,0.0,-19.999975,-43.999975,-67.999975,-107.999975,-175.99997394444443,-303.99997309165013,0.0,1.0,1.0,1.0,1.0,3.0,6.0
1100.0,3500.0,589.0,1812.0,48.0,0.024736048344764,0.0,0.0,0.0,3.183098861837907e-07,8.841941282883074e-07,8.488263631567752e-07,7.16197243913529e-07,0.0,17.2463206339,39.0748106922,60.3526465022,96.8713698853,156.9719481999,273.0701722593,0.0,-20.0,-44.0,-67.9999984375,-107.99999605888692,-175.99999475821124,-303.9999937878189,0.0,0.0,0.0,1.0,4.0,6.0,9.0
1300.0,2300.0,747.0,1188.0,73.0,0.0220724640624125,0.0,1.2732395447351628e-06,9.947183943243459e-07,9.54929658551372e-07,1.1052426603603843e-06,9.902974236829044e-07,8.753521870054244e-07,0.0,17.2463158905,39.074804063,60.352639792,96.8713638696,156.9719421372,273.0701656629,0.0,-19.999995,-43.999993076923076,-67.99999182692308,-107.99999000331565,-175.99998871788387,-303.9999872220476,0.0,1.0,2.0,3.0,5.0,7.0,11.0
1300.0,5300.0,711.0,2726.0,13.0,0.041019987365335,0.0,0.0,9.947183943243459e-07,1.2732395447351628e-06,1.1052426603603843e-06,9.902974236829044e-07,9.54929658551372e-07,0.0,17.2463206339,39.0748065704,60.3526408353,96.871365792,156.971944217,273.0701674787,0.0,-20.0,-43.99999557692308,-67.99999271744595,-107.99999198215184,-175.99999094582705,-303.99998918155944,0.0,0.0,2.0,4.0,5.0,7.0,12.0
1500.0,1300.0,817.0,653.0,59.0,0.1426360956538981,0.0,0.0,9.947183943243459e-07,9.54929658551372e-07,1.1052426603603843e-06,1.414710605261292e-06,8.753521870054244e-07,0.0,17.2463206339,39.0748068423,60.3526423682,96.8713665311,156.9719433565,273.0701680507,0.0,-20.0,-43.9999952991453,-67.9999939102564,-107.99999194871795,-175.99998894511293,-303.9999886509953,0.0,0.0,2.0,3.0,5.0,10.0,11.0
