400_density,400_grad,800_density,800_grad,seeds,cx,cy
7597.341243790794,70.00796776178731,7265.1717553230255,42.114888349432626,3,1075,2675
7611.521379238218,67.57984898257003,7536.277454599298,38.26842594443899,3,1075,3075
4215.056702249054,13.497683746288734,6278.532302884213,46.010266837151676,3,1075,4275
6942.516611012008,95.25534966940607,8365.924465505526,67.54857463828412,3,1275,6275
5505.440376953872,46.367691253793154,5316.481194583512,40.38219347260727,3,1475,8875
7232.874520101251,43.7581833993418,9879.146879970325,24.519404499849507,3,1675,2875
12394.230986371793,62.78068023076456,13111.85867305702,53.73758324827534,3,1875,6275
12592.364870293977,51.01171929323274,12981.644707480727,55.12411767306054,3,1875,6475
7155.822889793662,25.69820138048862,8210.676568431414,40.85255669736235,3,1875,8475
12036.61467306644,63.483800689427866,11892.738426101643,29.574698349369037,3,2075,4675
11337.436250315102,88.12247179680699,12168.505492830125,32.467662608699484,3,2075,4875
12234.544297009365,59.08471990841834,14211.852818056943,45.20776304018848,3,2075,6475
6597.693323099682,59.53491154357851,6561.869010349595,48.170230773405066,3,2275,1475
7904.712343020474,14.222582541620753,8805.702699223639,42.427606265468214,3,2275,1875
7008.255384246219,18.391343391054193,10965.993320388103,20.221938638579104,3,2275,2475
12407.679804120906,35.9560748703831,12379.084652282985,19.174216728361934,3,2275,4675
7734.707647911061,55.07978124276567,11905.026537397047,38.963934977539466,3,2275,7675
9321.378261704895,22.32188883382737,11413.5279149055,31.959275138567097,3,2475,8075
6743.126601028453,15.445962316077516,10796.237065848532,12.015539426834147,3,2675,3675
8097.502922260895,68.59622854829162,11249.505195886002,25.496090103640853,3,2675,4275
10121.062997012994,44.500590571220144,15820.70675357408,21.77753090956078,3,2675,5875
8127.905299682535,38.42075685607239,14957.575884261609,29.700350511336946,3,2675,7075
7220.234153154508,72.15852146684989,9870.68974443347,44.378854083731916,3,2675,8475
7309.660825357384,25.926865513970476,11381.277740172744,14.054178452399816,3,2875,3075
9063.059035901671,73.26070781023738,14701.495036039863,30.55411330923172,3,2875,5475
10020.474466109956,52.371812251346164,16130.142632368194,22.215211292818374,3,3075,5875
10606.285553962512,35.52538613959493,16397.701881405894,15.600341832929386,3,3075,6675
7608.11000203135,79.6986787295305,10299.078469187325,31.976543802857435,3,3275,2275
10152.005069223405,21.619366276916892,10673.216438328753,19.890694991985715,3,3475,2675
10071.002171383923,61.11275467564468,16357.16024688282,19.44878513884576,3,3475,6675
9020.873156077378,78.38198979098098,15174.50335337643,27.320751624549086,3,3475,7075
8511.413388115006,80.8254892830978,9976.437840557026,26.73887631013299,3,3675,2875
8492.720920089145,41.173039788243074,11528.954115710745,33.10141323157981,3,3675,8075
9107.518466115333,102.54592160209748,15932.761290264612,52.04442146589398,3,3875,5475
8752.774632377248,26.781330551547764,11245.462713105715,33.5036858604219,3,3875,8075
5228.280483769122,48.21824266743201,7050.375963571671,51.552248031060955,3,3875,8875
14298.5079738188,91.54948619794855,17964.195172343552,23.236342174924772,3,4275,5675
4517.581260931764,24.11541675517379,4503.695955539457,32.76824143613418,3,4475,1275
4844.499833495971,13.207655460168876,7467.277751923649,25.59860289378925,3,4475,2075
15212.65781383967,114.87579930325931,16608.854721986863,54.551383292438636,3,4475,5275
13547.009844839613,51.17192667753421,17704.22794265043,29.972578473166926,3,4475,6075
11336.47238613095,54.669150264573574,15957.045498874037,48.94646952486639,3,4475,6475
8512.843490321233,61.54485825197266,13926.634253965405,50.15264655173126,3,4475,6875
16485.910459171213,68.99157750801749,16795.99935017824,46.237468856997566,3,4675,5275
5336.940468070051,35.13295689548762,8357.415530800696,38.99230770647879,3,4675,8275
5794.130260733874,36.92874042677631,7705.680993037685,11.379462241708293,3,4875,3075
16475.50669334849,47.31223161179495,16575.537141946115,41.905502940731644,3,4875,5275
10956.441538801095,122.55305954813875,16101.021723294645,61.44443789802713,3,4875,6075
5487.0218749008045,28.386389888523006,9874.179091653874,40.3273868981915,3,4875,7475
5565.857426758411,44.84151376415494,7333.318953744976,10.099121230080202,3,5275,3475
12683.523794593046,97.77367335144456,14289.844318312904,51.17474045339878,3,5275,5075
13168.023123825333,103.93895342828318,15034.509239378865,45.83894532057526,3,5275,5275
5534.915085130041,29.4168417931167,8509.26114974695,27.13459506509149,3,5675,2475
7017.218685138085,60.6157141372977,11093.418947700622,40.356383558297004,3,5875,4875
4281.847921369956,12.897228189155738,5446.866219002233,26.065648950472816,3,5875,8675
6953.867877113724,54.26802354459465,10065.715916529536,53.405980444363756,3,6275,2275
7220.620068765027,40.94779297480106,7083.950548543829,2.6730485168523863,3,6275,7675
8182.753393421345,57.14655334928339,10796.564453017378,4.2763200129867815,3,6475,5275
7239.71515532612,40.244314652597275,7046.510216796035,6.48910415588599,3,6475,7475
14795.28723559545,90.84886759048862,14063.651103763055,28.66688612869204,3,6875,2675
14573.587015297326,120.63747105518858,14202.220757187146,27.285376625923657,3,6875,2875
10570.98521340339,39.484804678187686,10759.374252100928,6.874882404423706,3,6875,5275
4143.011323501894,12.753924949440309,4895.094960629912,25.459333172584273,3,6875,8875
13200.186813378723,132.46958586347756,13658.319205338794,40.82043010632433,3,7075,2475
15702.956227976545,71.74849064490395,14622.7921830642,12.318382672003766,3,7275,2875
11000.248988410745,116.38929247065397,12582.955466247951,47.632741207575,3,7275,3475
8426.218241688906,101.29377362768263,9862.150917568557,29.1731760301092,3,7275,5075
10233.3153614899,47.32588048715392,10645.199312473469,5.33591135224931,3,7275,5675
4465.326527080969,24.731252234000713,7346.437231287332,60.78860847896621,3,7475,1675
13723.181315125665,93.40468272546298,13923.169515046244,33.14357224719634,3,7475,3075
8291.891015249914,71.64362490684222,10545.681259080275,4.040451006771216,3,7475,5875
4720.285474661349,17.64919157898708,8592.455257621574,25.074969109762176,3,7475,7275
8177.606337618334,101.41213218895213,10421.820097119027,57.43257955193739,3,7675,3675
8470.464184269651,74.02396460186817,11012.933488468658,11.882905626217951,3,8075,6675
5284.609584446885,51.956942914667025,8639.498849296491,63.97231916819579,3,8275,3075
10730.58753995876,18.116229907184007,10905.825761318109,16.2100248532835,3,8475,6675
10351.06231232753,132.3109001516327,10632.026286530509,5.678258665350805,3,8475,8075
10266.556781906966,136.71070303727203,8798.511230837606,44.45543410217299,3,8475,8875
8964.007390808909,89.65872042180453,10200.313204424001,30.96039877362228,3,8675,6875
13753.273056000513,85.27813444993298,10510.383306784384,15.104095668097402,3,8675,8275
13739.735285369516,86.21437548587211,9708.980630036516,32.538718685201864,3,8675,8675
7466.418440651411,38.228675715853235,5147.793904918877,25.280567020261298,3,8875,1675
7478.318286948705,37.244111293591885,5473.795168135991,25.004738719021265,3,8875,1875
8052.553754268497,62.223622663476554,7846.696481657129,49.91676367432674,3,8875,5875
8953.503429401517,35.45705926669492,8604.10736815615,46.5587855983743,3,8875,6075
13125.8785173236,120.16583288257726,9717.689308529538,35.458798832788894,3,8875,8475
7109.0520640635195,94.88237560364041,7960.244531242995,48.9296338921739,4,1075,2475
7918.221699459088,68.89514458130812,8558.88678462192,52.8285656318499,4,1075,4275
7383.771029072472,71.28789923632198,8316.126227720988,55.10101499948432,4,1075,4675
5336.052425593955,43.65799108892114,6050.389663769965,44.345801492542044,4,1475,1075
4052.229848124042,11.1305521415527,4598.695581042303,33.69591111570352,4,1475,7275
10105.10949583465,72.5427358766512,10105.88807374196,15.636141939277998,4,1675,2075
11265.05695954709,40.021564379330684,10287.370251751108,10.07591917807345,4,1675,2275
9316.479876313611,88.15776574714468,10110.22042579291,12.853309258230128,4,1675,2675
9688.909849912308,29.100077775774295,11630.93238669033,27.632859959215857,4,1675,4275
6797.067728913699,54.3772706708521,9276.612331702501,51.35681453086337,4,1875,5475
5773.773341513711,35.80352246422064,7705.5379461425155,36.647569421027626,4,2075,1275
9338.077593715941,65.07684511212767,11744.075305733957,24.43612633923758,4,2075,4075
7615.350779089786,95.99971311404576,7538.92034365774,50.476365293614506,4,2075,8675
5095.537738525548,23.477352511086718,9422.215948698944,18.681667984165216,4,2275,3275
9839.702855643518,37.04043067104088,12634.229119132942,13.444248401343822,4,2275,4475
6719.487499863786,56.14907946500095,9525.997931085087,46.46895421554978,4,2275,5675
8255.823356914032,38.15100801942417,12864.18495868815,8.894023909601522,4,2475,4875
7186.891529106951,76.8368127982089,9902.600688495035,32.21265896604665,4,2475,7875
11000.799477549674,26.540127353155366,9952.793557450694,36.02855506618029,4,2475,8475
4264.715740713904,12.87334626686512,7247.361658832873,15.211933470152877,4,2675,6875
10089.069982315683,71.03300986784657,10569.972965873809,31.439872173529402,4,2675,8475
5094.702916851806,29.98697170926073,8093.717338499154,45.925097163603596,4,3075,1275
10588.745737203797,96.65931632401148,13614.970659967272,25.825653597740818,4,3275,4875
9469.663040775275,106.55272815098905,11852.9153142763,48.40510658682607,4,3475,2475
5781.886197764126,51.97417978273688,10569.235507635842,34.50020973785825,4,3475,7675
7868.084103868602,44.55189578555979,12610.52895691441,57.35741327596279,4,3675,1675
11568.745841403414,50.15506823488823,13445.545970172452,47.22337844957217,4,3675,2275
10346.41167750818,123.04662834155899,12813.910975807417,47.46089976766802,4,3675,4675
13665.675820835406,21.3683444951574,14561.989575272035,19.994530796009713,4,3675,5075
13207.360723194519,47.29076974376769,14813.513587670328,10.41041536251136,4,3675,5275
10126.525222035754,100.99548181124909,10980.168149752692,40.451345275969,4,3675,8675
11905.164659854228,97.1218357425339,13446.65398717399,42.32461555780389,4,3875,5875
11819.967779180455,52.00773840308686,11943.236760104855,9.519041571045634,4,3875,8275
12007.7834007785,32.48869391330686,14756.369359432194,49.39763995677146,4,4075,2475
12724.012903893714,52.76831535906419,13639.589351086803,35.27650756945479,4,4075,5875
