200_density,200_grad,600_density,600_grad,1000_density,1000_grad,1400_density,1400_grad,1800_density,1800_grad,2200_density,2200_grad,2600_density,2600_grad,seeds,cx,cy
8656.933029799984,112.21882545560884,7041.79775443433,44.19752025641556,7931.17965732475,43.05386511992442,9357.020372751584,40.81260708654412,10715.253793056334,39.16787149057321,12088.088670902644,38.28499204223856,13368.237584473287,36.75167846695732,3,1075,2675
8656.933029799984,112.21882545560905,7140.335793817857,37.31678815400778,8386.93121314978,42.05407268706106,10089.171179058772,41.668772301595695,11651.165786215484,40.665505979295176,13123.984937533696,39.66147452258002,14406.29518097636,37.68245535459587,3,1075,3075
7391.419335517941,80.10774429573544,4638.139568468651,35.61309545961378,8048.149879227111,48.104070129983306,11146.420196203608,47.666960575444385,13602.00550403205,46.229137424470345,15450.36451214012,43.322768664794275,16751.73489548621,39.498418842034624,3,1075,4275
7590.690017957961,75.73990344500339,7384.879493346098,74.44879525356365,9861.872468723837,64.89398339119808,12900.936808492199,58.66666819066011,15294.051012833412,51.93827582243145,16943.458537538776,45.58234134826089,18011.328703557003,40.09926772890444,3,1275,6275
7582.769375980072,76.4609202352104,5126.985999641094,42.22902042431933,5820.748545965811,40.63791853685583,7421.049148809401,42.61851322321005,9131.239665498395,42.06658387811656,10666.51743924536,39.93494732895249,11996.08287383844,37.338830942185794,3,1475,8875
7563.280454795872,74.6160038519902,8506.088442521788,11.744979083331256,10982.101300249553,32.20001400253939,12400.582284503153,35.93222617026641,13686.780530638562,38.367853602403066,14991.527987557585,38.94923904900037,16136.945338962243,37.44525052406537,3,1675,2875
15163.875887687895,313.5801622299857,12026.789738484944,43.78951612048425,14511.359139049848,55.613024128066115,17118.100353200938,52.444629106291075,18979.38246577147,46.55958883462091,20138.88753340195,41.25631619974053,20803.357812802118,36.70327439210554,3,1875,6275
16835.058735209725,258.860067552365,11980.569626183398,45.608462107580756,14377.539574803368,56.536246402842906,16951.289076595476,52.9329535009598,18729.329165393145,46.920898790922266,19842.056990365527,41.61920649581306,20502.54434699041,37.082334503891964,3,1875,6475
7607.054821260145,74.73905004312624,7847.978743896837,37.05754548513642,8907.874217482407,45.82612003082198,10675.77842522956,48.84892277893305,12272.244150879646,46.49925759561122,13597.285194808552,42.87858935071705,14704.152607855103,39.241312963831156,3,1875,8475
16778.03450077408,263.4787873224128,11034.385460218133,35.35627187397511,13504.474822284503,31.0846236133637,16937.78247761521,37.677805232904404,19452.771122117007,39.29457002380164,20975.8582608481,37.45172896351885,21780.284085604915,34.24146960835719,3,2075,4675
