density200,grad200,density400,grad400,density600,grad600,density800,grad800,seeds,cx,cy
8656.933029799984,112.21882545560884,7597.341243790794,70.00796776178731,7041.79775443433,44.19752025641556,7265.1717553230255,42.114888349432626,3,100,1700
8656.933029799984,112.21882545560905,7611.521379238218,67.57984898257003,7140.335793817857,37.31678815400778,7536.277454599298,38.26842594443899,3,100,2100
7391.419335517941,80.10774429573544,4215.056702249054,13.497683746288734,4638.139568468651,35.61309545961378,6278.532302884213,46.010266837151676,3,100,3300
7590.690017957961,75.73990344500339,6942.516611012008,95.25534966940607,7384.879493346098,74.44879525356365,8365.924465505526,67.54857463828412,3,300,5300
7582.769375980072,76.4609202352104,5505.440376953872,46.367691253793154,5126.985999641094,42.22902042431933,5316.481194583512,40.38219347260727,3,500,7900
7563.280454795872,74.6160038519902,7232.874520101251,43.7581833993418,8506.088442521788,11.744979083331256,9879.146879970325,24.519404499849507,3,700,1900
15163.875887687895,313.5801622299857,12394.230986371793,62.78068023076456,12026.789738484944,43.78951612048425,13111.85867305702,53.73758324827534,3,900,5300
16835.058735209725,258.860067552365,12592.364870293977,51.01171929323274,11980.569626183398,45.608462107580756,12981.644707480727,55.12411767306054,3,900,5500
7607.054821260145,74.73905004312624,7155.822889793662,25.69820138048862,7847.978743896837,37.05754548513642,8210.676568431414,40.85255669736235,3,900,7500
16778.03450077408,263.4787873224128,12036.61467306644,63.483800689427866,11034.385460218133,35.35627187397511,11892.738426101643,29.574698349369037,3,1100,3700
15044.886027497634,319.9557631421197,11337.436250315102,88.12247179680699,10940.8776690764,39.314841075213565,12168.505492830125,32.467662608699484,3,1100,3900
15049.463753232909,319.715739532661,12234.544297009365,59.08471990841834,12821.685000948684,30.16627248616098,14211.852818056943,45.20776304018848,3,1100,5500
8580.683136751268,112.28657114783206,6597.693323099682,59.53491154357851,6059.992799709625,47.8671609091863,6561.869010349595,48.170230773405066,3,1300,500
8701.016180003162,101.97811356667245,7904.712343020474,14.222582541620753,8053.100894374519,32.98556850918001,8805.702699223639,42.427606265468214,3,1300,900
7533.072745884273,75.83973095169719,7008.255384246219,18.391343391054193,9315.319034707498,11.684377056306042,10965.993320388103,20.221938638579104,3,1300,1500
15234.27703402583,302.5949668950248,12407.679804120906,35.9560748703831,11541.342878180787,11.212825687119281,12379.084652282985,19.174216728361934,3,1300,3700
8165.731119920466,89.65120257542829,7734.707647911061,55.07978124276567,9631.912744365074,32.4662970242654,11905.026537397047,38.963934977539466,3,1300,6700
8917.951686735894,63.68926684476758,9321.378261704895,22.32188883382737,10049.163522564437,11.054434928074992,11413.5279149055,31.959275138567097,3,1500,7100
7588.0022718185555,73.88749236676966,6743.126601028453,15.445962316077516,8452.893428418294,7.807392446458115,10796.237065848532,12.015539426834147,3,1700,2700
7724.422786346405,71.18830400983983,8097.502922260895,68.59622854829162,9484.527159866162,47.30482915662643,11249.505195886002,25.496090103640853,3,1700,3300
9337.664110354044,139.2921539220285,10121.062997012994,44.500590571220144,12919.038311028371,23.85394012219863,15820.70675357408,21.77753090956078,3,1700,4900
7609.085343640894,74.75441113654797,8127.905299682535,38.42075685607239,11883.976259529842,32.61127844210562,14957.575884261609,29.700350511336946,3,1700,6100
8149.928956636249,91.10904410754658,7220.234153154508,72.15852146684989,8443.746111542998,47.91401126630857,9870.68974443347,44.378854083731916,3,1700,7500
7492.359812922149,76.14221246033821,7309.660825357384,25.926865513970476,9606.35194251248,22.799295087278622,11381.277740172744,14.054178452399816,3,1900,2100
8898.730896340285,125.93449754358278,9063.059035901671,73.26070781023738,11426.150722802136,35.94105769936296,14701.495036039863,30.55411330923172,3,1900,4500
9339.875228971225,139.0931287384779,10020.474466109956,52.371812251346164,12666.04084048308,26.301887477145034,16130.142632368194,22.215211292818374,3,2100,4900
8968.307329775109,109.24109890948645,10606.285553962512,35.52538613959493,13281.931140711886,14.904749607260133,16397.701881405894,15.600341832929386,3,2100,5700
8165.048648818816,92.56650929271424,7608.11000203135,79.6986787295305,9002.191898968975,46.38001217699919,10299.078469187325,31.976543802857435,3,2300,1300
11132.179082441386,125.25243442537185,10152.005069223405,21.619366276916892,9914.455755107288,22.685093315297333,10673.216438328753,19.890694991985715,3,2500,1700
9771.314314296627,130.51170594473078,10071.002171383923,61.11275467564468,12754.654304362493,18.0238695570839,16357.16024688282,19.44878513884576,3,2500,5700
8776.274818211328,121.68903245628827,9020.873156077378,78.38198979098098,11629.658576225956,32.72694557507024,15174.50335337643,27.320751624549086,3,2500,6100
10381.283753670794,176.58602856785302,8511.413388115006,80.8254892830978,8859.148782532167,43.59064199178519,9976.437840557026,26.73887631013299,3,2700,1900
12077.732780640801,199.6338787483323,8492.720920089145,41.173039788243074,9484.057144152093,10.710482370858236,11528.954115710745,33.10141323157981,3,2700,7100
8226.583988760382,94.32161808640704,9107.518466115333,102.54592160209748,12698.30818936807,76.59707546654445,15932.761290264612,52.04442146589398,3,2900,4500
12081.974421638737,199.04515435251597,8752.774632377248,26.781330551547764,9463.043481497545,10.082221405354845,11245.462713105715,33.5036858604219,3,2900,7100
7398.417776993351,79.57223392174181,5228.280483769122,48.21824266743201,5989.626765518358,54.41387208905772,7050.375963571671,51.552248031060955,3,2900,7900
9884.936315536654,58.51941127732003,14298.5079738188,91.54948619794855,16557.014520700683,52.37209359800101,17964.195172343552,23.236342174924772,3,3300,4700
7395.660976515871,79.79065375201117,4517.581260931764,24.11541675517379,4041.625493794952,27.053218408777266,4503.695955539457,32.76824143613418,3,3500,300
7395.663410624602,79.79028201270901,4844.499833495971,13.207655460168876,5970.5357489361,17.95956316866463,7467.277751923649,25.59860289378925,3,3500,1100
14105.997737039079,247.92368583182193,15212.65781383967,114.87579930325931,15967.426426638227,82.01974393562281,16608.854721986863,54.551383292438636,3,3500,4300
10537.347414282907,79.56604354650214,13547.009844839613,51.17192667753421,16010.742627111687,47.3872153605619,17704.22794265043,29.972578473166926,3,3500,5100
9963.984724586131,69.46780522961375,11336.47238613095,54.669150264573574,13436.633427836636,55.50547281694752,15957.045498874037,48.94646952486639,3,3500,5500
8604.96858203134,110.93881635549238,8512.843490321233,61.54485825197266,10958.89168514021,50.233560547776875,13926.634253965405,50.15264655173126,3,3500,5900
17154.66694866581,129.7693343449476,16485.910459171213,68.99157750801749,16661.2487047251,61.712141130537894,16795.99935017824,46.237468856997566,3,3700,4300
7396.863882134827,79.67241034210394,5336.940468070051,35.13295689548762,6727.567507457355,40.689669008222204,8357.415530800696,38.99230770647879,3,3700,7300
7582.838430318149,76.45337394059297,5794.130260733874,36.92874042677631,6298.968782851251,14.477349079390502,7705.680993037685,11.379462241708293,3,3900,2100
15231.443591266854,164.151593992423,16475.50669334849,47.31223161179495,16527.557200001116,51.73628357605021,16575.537141946115,41.905502940731644,3,3900,4300
8800.371310836177,122.52012186736113,10956.441538801095,122.55305954813875,14161.658260106808,94.42325436089241,16101.021723294645,61.44443789802713,3,3900,5100
7413.468414837841,78.93531815716551,5487.0218749008045,28.386389888523006,7191.070513868986,37.87722553820882,9874.179091653874,40.3273868981915,3,3900,6500
7582.769375980072,76.46092023521028,5565.857426758411,44.84151376415494,5558.781190370969,25.443392787994547,7333.318953744976,10.099121230080202,3,4300,2500
12983.818075756966,222.20858724256937,12683.523794593046,97.77367335144456,13357.467196751202,71.20574618040423,14289.844318312904,51.17474045339878,3,4300,4100
13408.929758375427,209.8829318886776,13168.023123825333,103.93895342828318,14141.77095210094,67.4507422805463,15034.509239378865,45.83894532057526,3,4300,4300
7467.7382829047365,77.64807706678236,5534.915085130041,29.4168417931167,6731.048779507899,26.069181031534566,8509.26114974695,27.13459506509149,3,4700,1500
7506.39189492765,75.8168184901894,7017.218685138085,60.6157141372977,8918.774272338102,54.24014625334809,11093.418947700622,40.356383558297004,3,4900,3900
7391.419335517941,80.10774429573544,4281.847921369956,12.897228189155738,4492.4234828202725,23.321943296849025,5446.866219002233,26.065648950472816,3,4900,7700
7491.677341820499,76.22958637553744,6953.867877113724,54.26802354459465,8663.453562847613,65.149410915767,10065.715916529536,53.405980444363756,3,5300,1300
10359.23224024216,174.23762870613527,7220.620068765027,40.94779297480106,6389.275966488295,10.432215763707614,7083.950548543829,2.6730485168523863,3,5300,6700
