cx,cy,density_700,grad_200,pred
1000.0,2600.0,48.550014168319635,0.36221540552549664,0.19451058310334035
1000.0,3000.0,49.239161235477475,0.3921450978627398,0.12680592663315948
1000.0,4200.0,48.29566449419099,0.44181444068749043,0.01724866981276428
1200.0,6200.0,51.212581467837914,0.236267268622258,0.44881790241725855
1400.0,8800.0,34.255143100028334,0.3069563848859023,0.2789635265508795
1600.0,2800.0,74.99268914706715,0.02666666666666667,0.8628496904048195
1800.0,6200.0,76.40481722867668,0.04807401700618653,0.8711055976333033
1800.0,6400.0,75.983281382828,0.19821424996424675,0.6533698275278135
1800.0,8400.0,56.837744403513746,0.2385139175999776,0.47452172466797776
2000.0,4600.0,81.20005667327855,0.14422205101855956,0.7919491426772847
2000.0,4800.0,79.4372343440068,0.18135294011647257,0.7065977002117794
2000.0,6400.0,81.66290733918957,0.28126697479638646,0.43858154087079615
2200.0,1400.0,62.32224426183055,0.21081851067789195,0.5565544300431111
2200.0,1800.0,75.66126381411165,0.09428090415820635,0.8292250276703581
2200.0,2400.0,83.9354491357325,0.13597385369580758,0.8207827749268308
2200.0,4600.0,84.30133182204591,0.10749676997731401,0.8712935783636364
2200.0,7600.0,78.73074525361292,0.06666666666666668,0.8804904790369523
2400.0,8000.0,77.56355908189289,0.14173527750312867,0.7763073496806878
2600.0,3600.0,91.0,0.1339983416149452,0.8508611683550142
2600.0,4200.0,89.99954661377161,0.26465910988372277,0.4951875134720163
2600.0,5800.0,90.47934258996882,0.13131810402394806,0.8548284620808153
2600.0,7000.0,88.01258146783792,0.19413626371414716,0.7016889402930955
2600.0,8400.0,70.20255029753471,0.13131810402394806,0.7404616976538401
2800.0,3000.0,88.0,0.07542472332656508,0.9354322301182982
2800.0,5400.0,89.27163502408614,0.08537498983243799,0.9287290317422099
3000.0,5800.0,91.22572966846133,0.10413666234542206,0.9076574366131971
3000.0,6600.0,91.0,0.06666666666666668,0.9608065866379285
3200.0,2200.0,84.39523944460187,0.214993539954628,0.6380386182931301
3400.0,2600.0,85.28268631340323,0.21499353995462803,0.6398844015329384
3400.0,6600.0,90.0,0.16275407487644938,0.7846189455095576
3400.0,7000.0,90.0,0.14907119849998599,0.8159510008346487
3600.0,2800.0,84.29368092944176,0.25888650451930134,0.5102223361381181
3600.0,8000.0,85.41133465570984,0.1099494833498043,0.8732649619430792
3800.0,5400.0,87.02329271748371,0.14360439485692011,0.8183863513684038
3800.0,8000.0,85.49492774156985,0.03771236166328254,0.9545718706998014
3800.0,8800.0,56.56066874468688,0.077746025264604,0.6374553061546224
4200.0,5600.0,84.53386228393313,0.14727148022916348,0.8012638567167831
4400.0,1200.0,56.73884953244545,0.23323807579381203,0.4838064572809386
4400.0,2000.0,81.56021535845849,0.107496769977314,0.8553318659298177
4400.0,5200.0,81.95760838764522,0.20741798914805396,0.6521325259097899
4400.0,6000.0,85.16180221025786,0.0298142396999972,0.9565711847319809
4400.0,6400.0,87.69147067157834,0.0596284793999944,0.9512205060858321
4400.0,6800.0,89.62533295551148,0.12578641509408806,0.8630136792532479
4600.0,5200.0,80.51533012184755,0.19821424996424675,0.6708993726493673
4600.0,8200.0,81.3017852082743,0.16220700080795253,0.756449329978421
4800.0,3000.0,81.85213941626523,0.20352450029965,0.6618584649906682
4800.0,5200.0,79.61246812128081,0.07180219742846006,0.8833659491027945
4800.0,7400.0,91.0,0.12292725943057184,0.8729220618961915
5200.0,3400.0,83.70484556531595,0.1520233900132184,0.78807179765079
5200.0,5000.0,80.76406914139983,0.23285665595430644,0.5805869650280158
5200.0,5200.0,79.87497874752054,0.23589074683938843,0.5700875616966135
5600.0,2400.0,87.74485689997167,0.077746025264604,0.9312169648127508
5800.0,4800.0,85.0,0.1099494833498043,0.8711678467674635
5800.0,8600.0,64.33057523377727,0.14727148022916348,0.6715125196927181
6200.0,2200.0,87.39744970246528,0.14907119849998599,0.8081741641664311
6200.0,7600.0,86.90728251629356,0.1793816539609828,0.7368274899820044
6400.0,5200.0,87.24443185038254,0.16220700080795253,0.7785900112008763
6400.0,7400.0,88.50376877302352,0.08432740427115679,0.9265278855766084
6800.0,2600.0,88.34060640408048,0.2,0.6866313978007126
6800.0,2800.0,88.68143950127515,0.05497474167490215,0.9615006358927252
6800.0,5200.0,87.24511192972514,0.17384539747207065,0.7512247377300338
6800.0,8800.0,46.439501275148764,0.26465910988372277,0.38014222814505877
7000.0,2400.0,86.60515726834798,0.1099494833498043,0.8790744997459727
7200.0,2800.0,86.12031737035987,0.1099494833498043,0.876764986099984
7200.0,3400.0,87.0,0.21081851067789195,0.6546582969561499
7200.0,5000.0,85.02414281666195,0.12578641509408806,0.8445416134537693
7200.0,5600.0,88.4470388211958,0.08432740427115679,0.9262506781701219
7400.0,1600.0,69.46925474638708,0.13131810402394806,0.7345297287282011
7400.0,3000.0,84.90541229810144,0.08944271909999159,0.9004055212261579
7400.0,5800.0,88.60759421932559,0.17788885418835113,0.7446637177601212
7400.0,7200.0,88.02425616321904,0.155492050529208,0.7961062615693462
7600.0,3600.0,85.34043638424482,0.28126697479638646,0.44072583140983085
8000.0,6600.0,84.0990082176254,0.17537261917287875,0.7380608463496556
8200.0,3000.0,71.48659676962312,0.07180219742846006,0.8095448986027369
8400.0,6600.0,73.72462453952961,0.11392004993756709,0.7909473441359207
8400.0,8000.0,67.54791725701332,0.107496769977314,0.7437952388187441
8400.0,8800.0,43.474865400963445,0.25051058970741247,0.38741142554710867
8600.0,6800.0,65.53420232360442,0.20308728282303756,0.5899280747977597
8600.0,8200.0,57.9899688296968,0.0298142396999972,0.6472649669271124
8600.0,8600.0,47.23468404647209,0.10749676997731401,0.5236285457135521
8800.0,1600.0,40.177444035137434,0.19686430746977868,0.42208540438975084
8800.0,1800.0,43.63451402663644,0.01885618083164127,0.42906761643743674
8800.0,5800.0,56.89572116746954,0.2748737083745107,0.40097109465090786
8800.0,6000.0,57.290507225843015,0.20176994600562076,0.5405303239150875
8800.0,8400.0,46.70983281382828,0.2936362072739365,0.33146838367901044
1000.0,2400.0,47.837461037120995,0.30782390348307187,0.30754698108319256
1000.0,4200.0,48.29566449419099,0.44181444068749043,0.01724866981276428
1000.0,4600.0,45.21031453669595,0.2960480441489936,0.32294940884330425
1400.0,1000.0,33.34508359308586,0.3169297153067923,0.26398683053040917
1400.0,7200.0,55.969169736469254,0.155492050529208,0.5893206306746701
1600.0,2000.0,69.05134599036555,0.04807401700618653,0.7925407613531941
1600.0,2200.0,71.57234344006801,0.17384539747207065,0.6817653187133328
1600.0,2600.0,74.190195522811,0.15606266547626169,0.7304193722276642
1600.0,4200.0,75.34831396996316,0.18135294011647257,0.6876813307121097
1800.0,5400.0,73.64596202890337,0.13597385369580758,0.7599288075145834
2000.0,1200.0,51.867441201473504,0.29814239699997197,0.33658414818300086
2000.0,4000.0,86.93867951260981,0.1099494833498043,0.8806234082966142
2000.0,8600.0,55.30852932842165,0.14360439485692011,0.5939570833381507
2200.0,3200.0,88.02215925191273,0.0565685424949238,0.9561602637470321
2200.0,4400.0,86.19291584018136,0.06666666666666668,0.9350179812067281
2200.0,5600.0,84.40255029753472,0.139204086785474,0.8167274420776593
2400.0,4800.0,85.25400963445735,0.08944271909999159,0.9024207962385462
2400.0,7800.0,80.3461603853783,0.10749676997731401,0.8475961888212753
2400.0,8400.0,68.0580901105129,0.13597385369580758,0.7169504577466879
