Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y
0.9517829040590048,137.0,0.6376811594202898,5985,1971
0.9506299186372631,222.0,0.36917562724014336,5790,1609
0.8776842635256977,300.0,0.4098360655737705,5821,1886
0.8430545459528039,298.0,0.34472934472934474,5769,2206
0.8582345732478153,263.0,0.4290322580645161,5747,3140
0.8816726525858973,235.0,0.5119453924914675,5724,2616
0.8905903116856627,227.0,0.5359712230215827,5723,3424
0.8584430422618268,249.0,0.5117845117845118,5716,2908
0.8714121405367328,343.0,0.610738255033557,5729,3725
0.8745308964228191,364.0,0.5548780487804879,5718,4781
0.7429846078487886,272.0,0.6245847176079734,5675,4461
0.9565741124520222,145.0,1.4899328859060403,5584,5758
0.8333647065440868,262.0,0.36538461538461536,5665,4147
0.9530910688807273,117.0,0.5,5567,1335
0.3806385139395935,95.0,0.9024390243902439,5526,3246
0.4569185445414266,79.0,1.1214285714285714,5502,4806
0.5306197532148711,131.0,1.256578947368421,5489,3728
0.40545028376473236,90.0,1.2536231884057971,5466,4361
0.5467796486439738,113.0,1.0890410958904109,5464,4193
0.9380242253325888,145.0,0.6470588235294118,5462,1923
0.7217055164747593,100.0,1.0476190476190477,5450,2501
0.8905020365913312,303.0,0.7547770700636943,5534,5438
0.526715110268958,218.0,0.6596491228070176,5469,5092
0.6052533783679007,119.0,0.5808080808080808,5439,2228
0.9244649153538746,284.0,0.7878787878787878,5378,1717
0.9531495543180533,124.0,1.0175438596491229,5324,1262
0.96143633088107,86.0,0.9844961240310077,5262,1599
0.7986325439877776,165.0,0.5345622119815668,5265,1908
0.4070733660059775,62.0,0.7919463087248322,5217,2550
0.23384068861285742,61.0,0.7133333333333334,5187,2869
0.30127935907837183,93.0,0.5815217391304348,5200,3770
0.43038617049820854,66.0,0.7246376811594203,5179,4127
0.11980462926053516,91.0,0.8709677419354839,5184,3177
0.16419941805386137,38.0,0.8285714285714286,5172,3491
0.25350969488843755,15.0,1.1304347826086956,5139,4436
0.7642986206252927,213.0,1.0633484162895928,5175,5400
0.9481284766283794,88.0,1.2300884955752212,5124,1567
0.16782788423791606,77.0,0.7159763313609467,5155,4726
0.15853189058018552,56.0,0.75,5149,5028
0.9576728530572252,44.0,1.4933333333333334,5081,1307
0.20372373301848531,88.0,0.7738095238095238,5076,4086
0.18754424580275444,60.0,0.6370967741935484,5039,3148
0.4206906070073731,39.0,1.0803571428571428,5028,2582
0.9584529578178497,84.0,0.9933333333333333,5048,5663
0.12793489684561882,43.0,0.823076923076923,5031,2907
0.12782450989731195,46.0,0.7222222222222222,5034,3444
0.6581742427930993,114.0,0.578125,5028,1921
0.18506095088714297,33.0,0.7132352941176471,5001,3767
0.13440560288407963,22.0,1.0287769784172662,4997,4735
0.16969295063219317,74.0,1.4732142857142858,4983,4347
0.3835841928287759,84.0,0.691358024691358,5012,2194
0.7672470123289534,186.0,1.7903225806451613,4973,5426
0.13286259323499972,56.0,1.146153846153846,4983,5071
0.9282843691710183,199.0,0.5041666666666667,4883,1555
0.7690044495127976,156.0,0.3781094527363184,4807,1956
0.2975917034139749,66.0,0.6666666666666666,4760,2249
0.14720394885921562,46.0,0.7709923664122137,4736,2819
0.12423197115946237,49.0,1.0145985401459854,4730,3529
0.13240391406054483,67.0,0.6824324324324325,4732,3765
0.1734296044948062,31.0,0.75177304964539,4726,2567
0.11978675737856792,34.0,0.8417721518987342,4733,3149
0.14416407714762042,42.0,1.0689655172413792,4702,4426
0.20261301946170324,70.0,0.6137931034482759,4713,5059
0.10389350262320503,55.0,0.7243589743589743,4720,4689
0.9029106643620584,204.0,1.0101010101010102,4751,5698
0.8784855764860929,198.0,2.730337078651685,4664,1517
0.36580009726632295,73.0,1.6,4653,1859
0.61242609766984,71.0,0.7391304347826086,4669,5387
0.9543464955893989,42.0,0.8181818181818182,4618,1291
0.18299585117980685,31.0,0.7964601769911505,4616,2516
0.1758525318163913,107.0,0.7604790419161677,4639,4093
0.2112407843733899,14.0,0.9186991869918699,4605,4345
0.13108980534923714,47.0,0.8108108108108109,4611,2230
0.13175269787282565,66.0,0.6356589147286822,4602,2810
0.09753607530710216,29.0,0.7410714285714286,4589,3479
0.13230511547221843,39.0,0.7244094488188977,4589,3755
0.1055777912651328,38.0,0.7712418300653595,4556,3139
0.11507173545389149,51.0,0.7857142857142857,4554,4720
0.1250752848106818,42.0,0.8780487804878049,4533,5033
0.22227184273539802,43.0,1.1571428571428573,4513,5343
0.8119144907582783,268.0,1.0387596899224807,4461,5723
0.1978637752851035,46.0,0.7916666666666666,4395,1854
0.34431140848741115,114.0,0.842391304347826,4382,1596
