 ,Area,Mean,X,Y,BX,BY,Width,Height,
80,17807.143,1043.277,2500.887,6094.023,2423.852,6023.556,146.250,140.400,
81,14152.933,972.630,7941.702,6096.892,7878.008,6031.356,124.800,126.750,
82,14498.961,912.284,280.492,6272.606,214.500,6206.856,132.600,130.650,
83,11179.372,882.891,7544.791,6296.509,7482.157,6241.956,118.950,118.950,
84,12217.457,842.597,4306.301,6300.764,4245.154,6243.906,128.700,115.050,
85,15852.654,935.111,1090.550,6481.261,1019.851,6415.506,138.450,132.600,
86,16175.867,965.407,1491.213,6487.310,1419.601,6421.356,138.450,134.550,
87,15210.030,1009.363,6727.523,6520.984,6659.257,6456.456,134.550,128.700,
88,16442.043,967.090,2289.525,6692.468,2221.052,6624.157,142.350,136.500,
89,13844.930,859.756,1278.704,6683.758,1212.901,6626.107,140.400,118.950,
90,16012.360,961.837,2693.522,6697.993,2622.753,6630.007,138.450,134.550,
91,18187.394,1032.635,5716.319,6721.503,5643.306,6649.507,144.300,144.300,
92,17012.419,1085.697,6931.331,6731.506,6862.057,6659.257,138.450,142.350,
93,15666.331,983.063,3697.890,6901.797,3630.904,6832.807,134.550,134.550,
94,18137.961,1039.796,5512.969,6920.373,5440.505,6848.407,142.350,144.300,
95,17445.905,1001.809,67.255,7076.472,0.000,7004.407,136.500,142.350,
96,15339.316,903.951,876.224,7085.832,807.301,7018.057,138.450,132.600,
97,18366.112,993.712,3289.933,7109.806,3217.503,7037.557,142.350,144.300,
98,15320.303,983.951,6117.822,7122.954,6050.856,7053.157,130.650,134.550,
99,14468.541,874.828,6924.254,7126.709,6860.107,7060.957,126.750,130.650,
100,12776.426,925.941,2070.846,7301.658,2012.402,7238.407,120.900,130.650,
101,19031.551,1018.002,1874.960,7501.770,1801.802,7429.507,148.200,144.300,
102,13829.720,843.398,1674.383,7692.504,1610.702,7630.358,130.650,124.800,
103,17495.337,987.503,4892.564,7720.300,4822.355,7649.858,140.400,142.350,
104,16651.181,986.558,6303.602,7734.591,6234.156,7663.508,138.450,138.450,
105,18092.331,1060.182,6705.313,7939.208,6631.957,7870.208,148.200,132.600,
