seed,design_x,design_y,grad200,density200,lap200,grad400,density400,lap400,grad600,density600,lap600,grad800,density800,lap800,dipole
3.0,100.0,1700.0,9.491111111111111,23.89884444444445,8.1796,10.29128888888889,10.249866666666666,12.777955555555556,0.0,6.032844444444445,0.0,0.0,4.629777777777778,0.0,0.009338995086129
3.0,100.0,2100.0,31.898711111111112,23.89884444444445,17.65888888888889,6.949111111111111,10.26831111111111,5.119955555555555,1.1886666666666668,6.075911111111111,0.9102222222222224,6.417288888888889,4.946311111111111,4.130133333333333,0.0309792804252122
3.0,100.0,3300.0,0.0,20.3184,0.0,0.0454666666666666,5.406533333333333,0.3643555555555555,1.4268888888888889,4.0,3.1516888888888888,1.7758222222222222,4.0,2.639511111111111,0.0550787062151066
3.0,300.0,5300.0,0.0,21.065955555555558,0.0,0.0,9.315822222222222,0.0,3.3668444444444443,6.5293777777777775,2.56,0.0,5.48,0.0,0.0234766753800745
3.0,500.0,7900.0,47.858266666666665,20.9884,31.049866666666667,17.19782222222222,7.3254222222222225,9.5232,6.238222222222222,4.325911111111111,3.3109333333333333,4.247066666666667,3.070088888888889,2.2528,0.0
3.0,700.0,1900.0,5.358,21.121066666666668,17.633511111111112,2.0108,9.912711111111111,3.675022222222222,0.0,7.976666666666667,0.0,0.0,6.802666666666667,0.0,0.0173278522156909
3.0,900.0,5300.0,0.0,42.39608888888889,0.0,0.0,17.19057777777778,0.0,3.3668444444444443,10.9976,2.56,0.0,8.94,0.0,0.2318335298847278
3.0,900.0,5500.0,0.0,47.052844444444446,0.0,0.0,17.509333333333334,0.0,1.3075555555555556,10.975333333333332,2.0935111111111118,0.0,8.836355555555556,0.0,0.3420347622561347
3.0,900.0,7500.0,5.643244444444444,21.092,29.4464,0.6139555555555556,9.8732,5.506844444444445,0.7517777777777778,6.9984,2.321066666666667,0.0,5.238933333333334,0.0,0.0688327068076952
3.0,1100.0,3700.0,0.2275111111111111,46.90968888888889,2.083511111111111,1.1611555555555555,16.583244444444443,7.202222222222222,1.7772444444444444,10.0,4.846933333333333,1.5304,8.0,2.844444444444445,0.40687108849107
3.0,1100.0,3900.0,12.884444444444444,42.02106666666667,20.93448888888889,4.987688888888889,15.615022222222224,10.751466666666667,2.639822222222222,9.9956,4.778666666666667,1.1658222222222223,8.002355555555555,1.7408,0.3832405460355815
3.0,1100.0,5500.0,0.0,42.0184,0.0,0.0,16.9636,0.0,1.3075555555555556,11.881777777777778,2.0935111111111118,0.0,9.965244444444444,0.0,0.1184815736367084
3.0,1300.0,500.0,0.0,23.78622222222222,0.0,0.1936888888888888,8.845466666666667,1.900088888888889,0.3664444444444444,5.517511111111111,2.4917333333333334,0.2818222222222222,4.092088888888889,2.651022222222222,0.0182612163759984
3.0,1300.0,900.0,3.111022222222222,24.12755555555556,10.601511111111112,0.2542666666666666,11.0,4.585244444444444,0.36,7.4128,1.6156444444444444,0.0330222222222222,6.0,1.0581333333333334,0.090740943015209
3.0,1300.0,1500.0,32.26008888888889,20.83475555555556,17.395466666666668,4.711955555555556,9.7088,2.7788,0.0,8.977333333333334,0.0,0.1080444444444444,7.151955555555555,1.3198222222222222,0.1426360956538981
3.0,1300.0,3700.0,0.2275111111111111,42.559866666666665,2.083511111111111,1.1611555555555555,17.012711111111113,7.202222222222222,1.7772444444444444,10.818755555555557,4.846933333333333,1.5304,8.052888888888889,2.844444444444445,0.0200793879690954
3.0,1300.0,6700.0,9.801555555555556,22.63035555555556,6.269555555555556,5.205466666666666,10.527866666666666,3.265911111111111,0.0,8.906577777777779,0.0,0.0,8.0,0.0,0.0650219503671752
3.0,1500.0,7100.0,0.8941333333333333,24.706444444444443,9.39897777777778,0.7591111111111111,12.960044444444444,7.145244444444445,1.279511111111111,9.0,3.504355555555556,1.0732,7.986844444444444,2.5827555555555555,0.0068754930743843
