design_x,design_y,grad200,density200,lap200,grad400,density400,lap400,grad600,density600,lap600,grad800,density800,lap800
100,1700,9.491111111111111,23.898844444444446,8.1796,10.29128888888889,10.249866666666666,12.777955555555556,0.0,6.032844444444445,0.0,0.0,4.629777777777778,0.0
100,2100,31.898711111111112,23.898844444444446,17.65888888888889,6.949111111111111,10.26831111111111,5.119955555555555,1.1886666666666668,6.075911111111111,0.9102222222222223,6.417288888888889,4.946311111111111,4.130133333333333
100,3300,0.0,20.3184,0.0,0.04546666666666667,5.406533333333333,0.36435555555555554,1.4268888888888889,4.0,3.1516888888888888,1.7758222222222222,4.0,2.639511111111111
300,5300,0.0,21.065955555555554,0.0,0.0,9.315822222222222,0.0,3.3668444444444443,6.5293777777777775,2.56,0.0,5.48,0.0
500,7900,47.858266666666665,20.9884,31.049866666666667,17.19782222222222,7.3254222222222225,9.5232,6.238222222222222,4.325911111111111,3.3109333333333333,4.247066666666667,3.070088888888889,2.2528
700,1900,5.358,21.121066666666668,17.633511111111112,2.0108,9.912711111111111,3.675022222222222,0.0,7.976666666666667,0.0,0.0,6.802666666666667,0.0
900,5300,0.0,42.39608888888889,0.0,0.0,17.19057777777778,0.0,3.3668444444444443,10.9976,2.56,0.0,8.94,0.0
900,5500,0.0,47.052844444444446,0.0,0.0,17.509333333333334,0.0,1.3075555555555556,10.975333333333333,2.0935111111111113,0.0,8.836355555555556,0.0
900,7500,5.643244444444444,21.092,29.4464,0.6139555555555556,9.8732,5.506844444444445,0.7517777777777778,6.9984,2.321066666666667,0.0,5.238933333333334,0.0
1100,3700,0.2275111111111111,46.90968888888889,2.083511111111111,1.1611555555555555,16.583244444444443,7.202222222222222,1.7772444444444444,10.0,4.846933333333333,1.5304,8.0,2.8444444444444446
1100,3900,12.884444444444444,42.02106666666667,20.93448888888889,4.987688888888889,15.615022222222223,10.751466666666667,2.639822222222222,9.9956,4.778666666666667,1.1658222222222223,8.002355555555555,1.7408
1100,5500,0.0,42.0184,0.0,0.0,16.9636,0.0,1.3075555555555556,11.881777777777778,2.0935111111111113,0.0,9.965244444444444,0.0
1300,500,0.0,23.78622222222222,0.0,0.19368888888888888,8.845466666666667,1.900088888888889,0.36644444444444446,5.517511111111111,2.4917333333333334,0.2818222222222222,4.092088888888889,2.651022222222222
1300,900,3.111022222222222,24.127555555555556,10.601511111111112,0.25426666666666664,11.0,4.585244444444444,0.36,7.4128,1.6156444444444444,0.033022222222222224,6.0,1.0581333333333334
1300,1500,32.26008888888889,20.834755555555557,17.395466666666668,4.711955555555556,9.7088,2.7788,0.0,8.977333333333334,0.0,0.10804444444444444,7.151955555555555,1.3198222222222222
1300,3700,0.2275111111111111,42.559866666666665,2.083511111111111,1.1611555555555555,17.012711111111113,7.202222222222222,1.7772444444444444,10.818755555555555,4.846933333333333,1.5304,8.052888888888889,2.8444444444444446
1300,6700,9.801555555555556,22.630355555555557,6.269555555555556,5.205466666666666,10.527866666666666,3.265911111111111,0.0,8.906577777777779,0.0,0.0,8.0,0.0
1500,7100,0.8941333333333333,24.706444444444443,9.398977777777779,0.7591111111111111,12.960044444444444,7.145244444444445,1.279511111111111,9.0,3.5043555555555557,1.0732,7.986844444444444,2.5827555555555555
1700,2700,0.0,20.99888888888889,0.0,2.0078222222222224,10.0,1.0808444444444445,3.4110666666666667,8.0,1.8090666666666666,0.0,7.0,0.0
1700,3300,0.0,21.370622222222224,0.0,0.04546666666666667,11.670266666666667,0.36435555555555554,1.4268888888888889,8.5896,3.1516888888888888,1.7758222222222222,7.9744,2.639511111111111
1700,4900,0.0,25.941244444444443,0.0,3.9851111111111113,14.52448888888889,2.196,5.369511111111111,12.0,3.015111111111111,0.7496888888888888,11.0,0.5575111111111111
1700,6100,0.35964444444444443,21.078311111111113,7.315955555555556,2.456088888888889,11.770888888888889,4.391822222222222,0.0,11.0,0.0,0.0,10.0592,0.0
1700,7500,5.643244444444444,22.588444444444445,29.4464,0.6139555555555556,10.320977777777777,5.506844444444445,0.7517777777777778,7.688266666666666,2.321066666666667,0.0,6.709155555555555,0.0
1900,2100,31.898711111111112,20.9224,17.65888888888889,6.949111111111111,10.486044444444444,5.119955555555555,1.1886666666666668,8.997466666666666,0.9102222222222223,6.417288888888889,8.0,4.130133333333333
1900,4500,33.70022222222222,24.685244444444443,22.73288888888889,15.933777777777777,13.041022222222223,9.193911111111111,5.531422222222222,10.618444444444444,3.0947555555555555,0.0,10.0,0.0
2100,4900,0.0,25.899466666666665,0.0,3.9851111111111113,14.3308,2.196,5.369511111111111,11.955866666666667,3.015111111111111,0.7496888888888888,11.0,0.5575111111111111
2100,5700,0.0,24.872044444444445,0.0,0.5998222222222223,15.135111111111112,1.1373333333333333,1.7931555555555556,12.0,3.640888888888889,0.0,11.028622222222221,0.0
2300,1300,5.1152444444444445,22.609155555555557,10.968177777777777,0.0,10.849466666666666,0.0,4.015022222222222,8.240177777777777,6.519466666666666,0.0,7.0,0.0
2500,1700,9.491111111111111,31.0644,8.1796,10.29128888888889,14.317955555555555,12.777955555555556,0.0,9.468044444444445,0.0,0.0,7.0,0.0
2500,5700,0.0,27.12591111111111,0.0,0.5998222222222223,14.35688888888889,1.1373333333333333,1.7931555555555556,12.0,3.640888888888889,0.0,11.009777777777778,0.0
2500,6100,0.35964444444444443,24.339111111111112,7.315955555555556,2.456088888888889,12.929377777777777,4.391822222222222,0.0,11.007644444444445,0.0,0.0,10.399688888888889,0.0
2700,1900,5.358,29.086533333333332,17.633511111111112,2.0108,12.1752,3.675022222222222,0.0,8.474977777777777,0.0,0.0,7.0,0.0
2700,7100,0.8941333333333333,33.57626666666667,9.398977777777779,0.7591111111111111,12.217822222222223,7.145244444444445,1.279511111111111,9.0,3.5043555555555557,1.0732,8.0,2.5827555555555555
2900,4500,33.70022222222222,22.9952,22.73288888888889,15.933777777777777,12.98408888888889,9.193911111111111,5.531422222222222,12.056177777777778,3.0947555555555555,0.0,11.000533333333333,0.0
2900,7100,0.8941333333333333,33.76586666666667,9.398977777777779,0.7591111111111111,12.663066666666667,7.145244444444445,1.279511111111111,9.0,3.5043555555555557,1.0732,7.876622222222222,2.5827555555555555
2900,7900,47.858266666666665,20.42106666666667,31.049866666666667,17.19782222222222,7.343111111111111,9.5232,6.238222222222222,5.540444444444445,3.3109333333333333,4.247066666666667,4.710666666666667,2.2528
