Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y,Diff_of_means
9.042536493343077,119.0,1.0368098159509203,897,4085,0.05451323447857112
15.676269874307687,173.0,1.5,1938,3992,0.03735496289953636
5.906900489360292,7.0,1.0,2987,3952,0.05578106447161516
0.48363399078398334,27.0,0.8857142857142857,1216,3935,0.05131344884450194
1.1139785132882132,30.0,0.8367346938775511,188,3858,0.05341445838486252
18.257094657924657,154.0,0.8309859154929577,3567,3870,0.05671526536638434
5.470021387695123,124.0,1.0552147239263803,1823,3837,0.02285462290529002
8.390422916348346,145.0,1.0285714285714285,1673,3779,0.01662420731716123
0.8455685272906539,18.0,1.0082644628099173,1010,3742,0.0540607094044052
3.3947881273913074,20.0,0.9661016949152542,485,3629,0.06383288157623598
20.380147846221547,183.0,1.0552763819095476,1587,3588,0.021290756407363172
3.3044986878228815,121.0,0.6564102564102564,1934,3588,0.034951376819029316
3.4959446696174012,95.0,1.0751879699248121,3433,3547,0.0691958101746179
9.980627148464857,140.0,1.2125,2522,3454,0.055384277475846226
3.3120772261475135,61.0,1.1666666666666667,3183,3432,0.05798151971767049
0.9955798353282773,105.0,1.196969696969697,1534,3443,0.040690677363134656
1.696841632972611,158.0,0.9269406392694064,2797,3464,0.049414023348720346
5.5226629385490025,106.0,1.2171052631578947,1161,3361,0.04661482473306554
0.7660343751965643,131.0,0.8113207547169812,1950,3382,0.03902359422856595
8.116862018297576,93.0,0.9320987654320988,1460,3283,0.04831633693095107
3.5759009137653215,127.0,1.0324675324675325,959,3209,0.08125506586099471
0.8022691132564851,46.0,0.9150326797385621,1224,3102,0.04985291626813328
4.328524900540771,66.0,1.0616438356164384,463,2959,0.043731310466138956
3.391743912250992,169.0,1.71875,663,2902,0.050970568588156705
7.08161623728738,126.0,1.4621212121212122,314,2894,0.053858464115564664
1.5542583347058698,97.0,0.9,1441,2874,0.06787371653392188
2.3826869132616775,38.0,0.7840909090909091,4001,2811,0.06019214756391886
14.843319031618417,155.0,0.96,3029,2867,0.044769303883704134
7.459550825866797,67.0,1.1983471074380165,1758,2810,0.0684582834406027
2.3235593686040503,66.0,1.0757575757575757,2469,2802,0.06259832291125406
1.326354332533434,81.0,1.047337278106509,2119,2725,0.05782940427398901
7.461423409740388,102.0,1.5486725663716814,3755,2590,0.07586265644997756
8.062856163234486,159.0,1.270967741935484,1507,2511,0.05635252863521646
1.0831706353328578,96.0,1.3779527559055118,1970,2482,0.04393750236446865
10.433256314215994,189.0,1.3485714285714285,1749,2475,0.04292237148070103
9.8124081001583,98.0,1.1383647798742138,3810,2448,0.07009599956487449
13.755501142927802,191.0,1.4507042253521127,3244,2198,0.05447353653122933
1.8420573347438567,138.0,1.6528925619834711,3024,2188,0.034342116470123654
0.6752759880861916,29.0,1.1555555555555554,3807,2079,0.04509910283614395
19.138298344580384,176.0,1.860655737704918,2790,2088,0.05222523787620792
0.6888111847856673,129.0,1.1805555555555556,2986,2092,0.04400628082628778
12.53372730743805,83.0,0.8209876543209876,1611,2006,0.06946978880877944
4.165365697467543,35.0,0.7687074829931972,83,1922,0.05971077537299117
3.2315558238287427,28.0,0.9491525423728814,2776,1900,0.0687014317336222
6.374302350446358,75.0,1.1810344827586208,3486,1875,0.06515509103169251
4.888493583830747,82.0,1.0806451612903225,4032,1757,0.06644047414533585
10.52393388890848,106.0,0.7636363636363637,68,1762,0.04503420042669605
6.225349910440914,111.0,1.1811023622047243,161,1702,0.04668277463422104
7.081598798695091,53.0,0.984,1533,1648,0.06452439323978121
