 ,Area,Mean,X,Y,BX,BY,Width,Height
86,72757.181,10588.168,1140.074,6732.427,984.751,6577.357,315.900,300.300
87,88522.377,10567.605,1662.658,6841.415,1493.701,6637.807,356.850,368.550
88,71928.234,11654.986,5885.914,6835.576,5748.606,6667.057,267.150,333.450
89,98895.618,10527.673,7184.208,6966.736,6969.307,6805.507,407.550,399.750
90,71749.516,10693.910,2893.931,6985.768,2698.803,6830.857,364.650,304.200
91,64794.730,12305.406,2420.073,7018.315,2306.852,6840.607,241.800,354.900
92,25431.171,7699.817,1413.405,6947.308,1320.151,6864.007,181.350,173.550
93,42070.944,11190.478,3856.931,7081.916,3736.204,6949.807,243.750,245.700
94,80358.393,10861.324,5608.104,7169.708,5473.655,6994.657,300.300,374.400
95,36226.490,9962.917,6265.875,7284.202,6148.356,7162.357,234.000,230.100
96,42629.913,9602.456,7045.534,7327.044,6930.307,7197.457,224.250,265.200
97,82963.111,9413.400,160.304,7417.108,27.300,7234.507,304.200,407.550
98,56140.222,9788.350,972.090,7390.824,834.601,7240.357,274.950,304.200
99,88533.785,11103.529,3522.822,7417.154,3346.203,7248.157,374.400,335.400
100,49672.157,9448.227,2264.352,7529.629,2133.302,7408.057,259.350,253.500
101,113482.037,11485.601,2059.925,7903.598,1858.352,7638.158,393.900,516.751
102,61197.557,11909.176,6426.703,7899.796,6292.656,7735.658,273.000,313.950
103,45052.110,10171.090,5027.466,7936.405,4914.005,7811.708,237.900,249.600
104,45052.110,11477.152,1844.642,7985.327,1727.702,7856.558,232.050,247.650
105,102762.768,11260.057,6948.166,8077.107,6766.507,7864.358,352.950,407.550
