density_200,density_400,density_600,density_800,grad_200,grad_400,grad_600,grad_800
13720.820816163134,13131.85333487996,11043.89287759443,9720.272776999273,250.35687844784007,119.95550843308312,53.93892092999826,35.411940532512354
12101.95390798798,8953.544179330307,8524.460967455045,8604.771260322146,196.88645201415855,35.40681283966221,50.112603455944864,46.55250011219363
12059.56592784712,8048.818274975835,7495.092303439484,7846.668429426048,200.54534804113263,62.33182487872514,56.65108775052947,49.916711306965766
12079.837950143728,7479.385440794193,5671.408318242288,5474.565400993601,199.38539260421103,37.147359069390205,12.300670550156728,24.999359475805864
12058.881918681936,7463.309554514126,5529.733624960585,5147.816193151434,200.46314830203045,38.40352172609919,18.35982906901644,25.28525763296518
14594.802323454853,13743.985440391049,11243.190739859496,9711.247873083536,129.6932667206073,86.03748860341976,43.74175009397433,32.49760446168542
14583.097653628844,13747.607830060126,11557.730938242576,10511.196685358573,130.15031943225986,85.42517564803269,30.841017919499247,15.060155681376374
10447.944916781084,8970.977388011683,9360.268759686212,10202.451322399364,180.84810982404016,89.52163703324298,47.48997718652517,30.92513644403211
10627.55518325667,10268.475322256092,9549.196492721529,8800.49094778136,200.04825307654625,136.7122912497839,73.45237128346103,44.43467875762624
10611.446549308374,10339.2235600701,10435.477791117775,10631.48342199723,200.36969333312507,132.35080593778048,48.9024626885627,5.710089920657078
11556.903348297714,10729.931159020887,10503.36729461406,10906.806565932528,127.36659550612552,18.19107544571008,16.792823973363227,16.175634509162563
7393.446314801473,5286.658453706612,6914.019771506771,8644.065291006125,80.1077384519677,51.97205520678835,71.49984897729622,63.967880522069954
8649.48493005825,8465.056994147122,9754.953982392462,11012.589868068942,118.86610981810784,74.06228540964005,33.099232492733,11.894009398904334
8226.127838606497,8185.617735994415,9327.950250613949,10426.628418596623,93.29570509044687,101.38949844275928,82.19692371005101,57.42093615691583
7389.141299057953,4720.124922235328,6107.641397724496,8591.755884932298,80.43188662773777,17.639997529966124,23.521642248188297,25.071188661199763
10372.933390970837,8297.229837766197,9150.00547858996,10545.670141284856,174.46966089355752,71.61969968290563,25.22692321450646,4.056833919132031
11316.855172334072,13728.424879098318,14302.487306804973,13925.633481811848,163.19677015728,93.38105394413094,49.9369650999092,33.09360471676655
7387.8560726124915,4464.150907701694,5426.706599716902,7343.24668905308,80.5109822225546,24.778016689845664,54.7052919407127,60.78966622377381
10656.994729856244,10235.76467983388,10031.559949031014,10645.416192833864,148.20371520282944,47.31065403797691,26.095469333948472,5.348324023374353
8268.12335033413,8424.084587810177,8961.357813903922,9861.9310843865,92.42563626998812,101.29447031267532,58.36353714995111,29.163771439314758
9033.77005476536,11003.514383638996,12026.236157088442,12585.829233068816,99.75551670926768,116.44056079219804,82.66743072701009,47.61834928003468
13175.559535683193,15704.92085328019,15285.512602236196,14623.097300138825,95.23041593925828,71.67911738819375,24.95362715215933,12.296101311834803
11879.008635413931,13192.908646357182,13669.734903890763,13655.37982591759,255.735695961572,132.49819032385474,66.39421201617054,40.86302706713682
7387.174518465556,4143.19352011291,3901.4914469924383,4896.61137588901,80.5742739990955,12.741641177086258,19.808855745731368,25.453198583636453
9526.64385804052,10567.179986722736,10382.010035146925,10758.971411835157,64.85379365863346,39.61208465596905,18.93749000064698,6.895254300155338
14117.070073200974,14569.072380425672,14426.677239995188,14200.664158663336,264.15063758555505,120.65920305581834,56.05465679970271,27.308197913216205
15815.155298699996,14786.939920280938,14351.829385703675,14060.947544034128,199.02307846680773,91.0128314175666,47.5890069989802,28.719483892499827
10354.865649992094,7238.390481936321,6266.45354114602,7045.93706630148,174.38548871323349,40.30590446829491,16.17115534396193,6.502237562710424
8594.644206266888,8179.734735173347,9392.392652822413,10796.659567519097,111.22773048955835,57.08705929957817,22.048788654719907,4.303711511341123
10354.865649992094,7219.430995255222,6388.278974433094,7083.689702062582,174.3854887132334,40.99392132164682,10.48567296028364,2.685503487116609
7487.721494250698,6949.129704881847,8657.694410901982,10061.009603224918,76.66090831143256,54.29446795525663,65.14452435450161,53.4115641042549
7387.174518465556,4281.179414544212,4492.920544511903,5448.255129342026,80.5742739990955,12.9452798360709,23.31095330139513,26.05766824982705
7502.575426687748,7016.174745203702,8917.735175243897,11092.807510986328,76.22903394142145,60.72867738159095,54.30526508552923,40.38888472781864
