design_x,design_y,grad200,density200,lap200,grad400,density400,lap400,grad600,density600,lap600,grad800,density800,lap800,dipole
600.0,2400.0,13.653155555555555,54.63951111111111,17.54088888888889,0.0,28.80048888888889,0.0,0.0533333333333333,23.59902222222222,1.7066666666666668,0.0720888888888888,21.33355555555556,2.321066666666667,2.545255732479083
600.0,3000.0,10.513022222222222,55.29733333333333,31.95235555555556,0.0,32.13333333333333,0.0,0.0,26.901066666666665,0.0,0.0,24.20671111111111,0.0,1.9290286117133797
600.0,3600.0,47.76893333333334,55.29733333333333,25.7608,0.0,32.48,0.0,0.0,27.473333333333333,0.0,0.0,25.35048888888889,0.0,3.1027324842053647
600.0,4200.0,38.95084444444444,55.29733333333333,23.369155555555555,0.0,32.48,0.0,0.0,27.473333333333333,0.0,0.0,25.35333333333333,0.0,2.438343749807776
600.0,4800.0,13.74008888888889,55.29733333333333,35.065777777777775,0.0533333333333333,32.48,1.7066666666666668,0.0,27.473333333333333,0.0,0.0,25.35333333333333,0.0,3.279811039837254
600.0,5400.0,15.174755555555556,55.29733333333333,14.5616,0.0,32.48,0.0,0.0,27.473333333333333,0.0,0.0,25.7,0.0,1.691378355309744
600.0,6000.0,64.83342222222223,55.29733333333333,35.065777777777775,3.36,32.48,1.7066666666666668,0.0,27.473333333333333,0.0,0.0,25.35333333333333,0.0,2.2467785840281804
600.0,6600.0,12.770577777777778,55.29733333333333,23.369155555555555,0.0,32.48,0.0,0.0,27.473333333333333,0.0,0.0,25.35333333333333,0.0,1.3424632747872949
600.0,7200.0,8.479333333333333,55.29733333333333,25.7608,0.0533333333333333,32.48,1.7066666666666668,0.0,27.473333333333333,0.0,0.0,25.35333333333333,0.0,1.74055502112579
600.0,7800.0,62.04955555555556,55.29733333333333,31.826933333333333,4.802133333333333,32.13333333333333,3.640888888888889,0.3192888888888889,26.9488,0.3185777777777778,3.543111111111111,24.2272,2.56,2.307204573348538
600.0,8400.0,23.36835555555556,54.96302222222222,17.54088888888889,3.36,29.366488888888888,1.7066666666666668,1.5610666666666666,23.82395555555556,2.594133333333333,0.0,21.38888888888889,0.0,2.0230451000021525
600.0,9000.0,12.448977777777776,36.42377777777778,35.63431111111111,0.0,17.952222222222222,0.0,4.758133333333333,16.679377777777777,2.5258666666666665,5.507688888888889,16.17342222222222,2.924088888888889,0.1087174819199392
1450.0,1200.0,4.566088888888889,54.32306666666667,34.55297777777778,0.4214666666666666,27.241866666666667,13.755422222222222,0.2710666666666667,23.105066666666666,8.829377777777777,0.2003555555555555,21.44622222222222,6.542222222222223,1.429408614306584
1450.0,1800.0,66.60008888888889,55.98444444444444,35.63431111111111,2.6936,36.93906666666667,3.5726222222222224,0.1125333333333333,32.37528888888889,3.663644444444445,0.1317777777777777,29.07168888888889,4.289422222222222,0.9507844831591216
1450.0,2400.0,13.653155555555555,56.01191111111111,17.54088888888889,0.0,39.31626666666666,0.0,0.0533333333333333,36.85866666666666,1.7066666666666668,0.0720888888888888,33.77706666666667,2.321066666666667,0.3669277062431613
1450.0,3000.0,10.513022222222222,56.01217777777778,31.95235555555556,0.0,39.75333333333333,0.0,0.0,38.46422222222222,0.0,0.0,35.8756,0.0,0.1146568924495323
1450.0,3600.0,47.76893333333334,56.01217777777778,25.7608,0.0,40.0,0.0,0.0,38.50666666666667,0.0,0.0,36.6,0.0,0.1774023861624575
1450.0,4200.0,38.95084444444444,56.01217777777778,23.369155555555555,0.0,40.0,0.0,0.0,38.50666666666667,0.0,0.0,36.6,0.0,0.0693756000327274
1450.0,4800.0,13.74008888888889,56.01217777777778,35.065777777777775,0.0533333333333333,40.0,1.7066666666666668,0.0,38.50666666666667,0.0,0.0,36.75968888888889,0.0,0.1924490246141448
1450.0,5400.0,15.174755555555556,56.01217777777778,14.5616,0.0,40.0,0.0,0.0,38.50666666666667,0.0,0.0,36.9,0.0,0.100211692568348
1450.0,6000.0,64.83342222222223,56.01217777777778,35.065777777777775,3.36,40.0,1.7066666666666668,0.0,38.50666666666667,0.0,0.0,36.620488888888886,0.0,0.2788879717771848
1450.0,6600.0,12.770577777777778,56.01217777777778,23.369155555555555,0.0,40.0,0.0,0.0,38.50666666666667,0.0,0.0,36.6,0.0,0.0728127224680244
1450.0,7200.0,8.479333333333333,56.01217777777778,25.7608,0.0533333333333333,40.0,1.7066666666666668,0.0,38.50666666666667,0.0,0.0,36.6,0.0,0.2442830591710638
1450.0,7800.0,62.04955555555556,56.01217777777778,31.826933333333333,4.802133333333333,39.75333333333333,3.640888888888889,0.3192888888888889,38.07213333333333,0.3185777777777778,3.543111111111111,35.70511111111111,2.56,0.0374088934279801
1450.0,8400.0,23.36835555555556,55.99924444444444,17.54088888888889,3.36,38.647644444444445,1.7066666666666668,1.5610666666666666,36.22911111111111,2.594133333333333,0.0,33.19555555555556,0.0,0.0409075478895692
1450.0,9000.0,12.448977777777776,55.32302222222222,35.63431111111111,0.0,34.73097777777778,0.0,4.758133333333333,30.94697777777778,2.5258666666666665,5.507688888888889,27.667822222222224,2.924088888888889,0.4773279748262254
1450.0,9600.0,33.2928,54.30711111111111,18.98768888888889,15.684222222222225,26.0184,8.386044444444444,13.175333333333333,20.83106666666667,7.179288888888889,10.700177777777778,18.907777777777778,5.949866666666667,1.2054698777979274
2300.0,600.0,0.0,54.31764444444445,0.0,0.0125777777777777,27.783555555555555,0.3982222222222222,0.084,22.520666666666667,2.7306666666666666,0.1054222222222222,20.58355555555556,3.2893777777777777,2.243401056335021
