design_x,design_y,grad400,density400,lap400,dipole
600,2400,0.012208023195994469,29.188934957482363,-2.8883488802892166e-05,2.545255732479083
600,3000,0.026659020532346176,32.604708195950785,1.0919630309259823e-05,1.92902861171338
600,3600,0.020083545752099686,32.73411713188529,1.911057522071411e-05,3.1027324842053647
600,4200,0.016521562883009985,32.73411713188529,-2.5205224580533088e-05,2.438343749807776
600,4800,0.028702494174553134,32.73411713188529,-9.17616037892403e-06,3.279811039837254
600,5400,0.011617537378734727,32.73411713188529,2.640042115980907e-05,1.691378355309744
600,6000,0.0287024939961497,32.73411713188529,-9.176160378923978e-06,2.2467785840281804
600,6600,0.016487655319631773,32.73411713188529,-2.5256552366848672e-05,1.3424632747872949
600,7200,0.004814807762226812,32.73411713188529,9.228161059401635e-06,1.74055502112579
600,7800,0.08418658533433557,32.626824082490316,-3.930470726024274e-06,2.307204573348538
600,8400,0.014494838009242755,29.754351649548187,-3.379874999016251e-05,2.0230451000021525
600,9000,0.01943429490858663,18.35288988137173,-1.1050470627986507e-05,0.1087174819199392
1450,1200,0.3382864092857423,27.610317885517595,-2.1713208592878075e-05,1.429408614306584
1450,1800,0.023303312625450188,37.36740484293904,-2.3650490054028443e-05,0.9507844831591216
1450,2400,0.012208023195994469,39.84312344220152,-2.8883488802892166e-05,0.3669277062431613
1450,3000,0.026659020532346176,40.265893101531276,1.0919630309259823e-05,0.1146568924495323
1450,3600,0.020083545752099686,40.280709923975586,1.911057522071411e-05,0.1774023861624575
1450,4200,0.016521562883009985,40.280709923975586,-2.5205224580533088e-05,0.0693756000327274
1450,4800,0.028702494174553134,40.280709923975586,-9.17616037892403e-06,0.1924490246141448
1450,5400,0.011617537378734727,40.280709923975586,2.640042115980907e-05,0.100211692568348
1450,6000,0.0287024939961497,40.280709923975586,-9.176160378923978e-06,0.2788879717771848
1450,6600,0.016487655319631773,40.280709923975586,-2.5256552366848672e-05,0.0728127224680244
1450,7200,0.004814807762226812,40.280709923975586,9.228161059401635e-06,0.2442830591710638
1450,7800,0.08418658533433557,40.23674844483867,-3.930470726024274e-06,0.0374088934279801
