200_density,200_grad,400_density,400_grad,600_density,600_grad,800_density,800_grad,1000_density,1000_grad,1400_density,1400_grad,1800_density,1800_grad,2200_density,2200_grad,2600_density,2600_grad,seeds,cx,cy,dipole
8149.928957,91.10904411,7220.234153,72.15852147,8443.746112,47.91401127,9870.689744,44.37885408,11122.50814,47.72712282,13170.70218,50.13408272,14719.77575,47.33986734,15932.90414,43.39855368,16914.80713,39.49559851,3,2675,8475,0.034484769
7492.359813,76.14221246,7309.660825,25.92686551,9606.351943,22.79929509,11381.27774,14.05417845,12901.29051,7.899169786,15541.91184,20.57111322,17734.57439,32.17084892,19387.11213,35.62413312,20473.68314,34.63061844,3,2875,3075,0.00986691
8898.730896,125.9344975,9063.059036,73.26070781,11426.15072,35.9410577,14701.49504,30.55411331,17508.79494,29.57158969,21387.95742,26.41330234,23616.21776,25.00986515,24762.67585,25.03495665,25174.63847,24.2234462,3,2875,5475,0.054054197
9339.875229,139.0931287,10020.47447,52.37181225,12666.04084,26.30188748,16130.14263,22.21521129,18959.87222,20.91013784,22462.25297,18.98581557,24313.10766,19.91365812,25257.70204,21.99653963,25570.71387,22.29824195,3,3075,5875,0.071653771
8968.30733,109.2410989,10606.28555,35.52538614,13281.93114,14.90474961,16397.70188,15.60034183,19025.24589,18.08125878,22051.34475,23.19358023,23360.6059,26.55379677,24022.1406,28.16290071,24299.10973,27.56088932,3,3075,6675,0.174590485
8165.048649,92.56650929,7608.110002,79.69867873,9002.191899,46.38001218,10299.07847,31.9765438,11286.38356,27.77899891,13062.89409,30.67221054,14978.56144,36.14301077,16740.31828,38.1307016,18092.24532,36.88714186,3,3275,2275,0.022072464
11132.17908,125.2524344,10152.00507,21.61936628,9914.455755,22.68509332,10673.21644,19.89069499,11780.21634,17.73424513,14354.21474,25.17489183,16849.73948,33.88900825,18801.06132,36.55171834,20101.66035,35.2576083,3,3475,2675,0.053168616
9771.314314,130.5117059,10071.00217,61.11275468,12754.6543,18.02386956,16357.16025,19.44878514,19265.09672,18.15035289,22558.73831,17.85115059,24062.38114,21.37052446,24856.04769,24.07049364,25172.88031,24.24396898,3,3475,6675,0.001703879
8776.274818,121.6890325,9020.873156,78.38198979,11629.65858,32.72694558,15174.50335,27.32075162,18088.28375,28.41271005,21394.47084,28.98265075,22868.51178,29.49421614,23669.53159,29.80099027,24064.5283,28.58911476,3,3475,7075,0.137120295
10381.28375,176.5860286,8511.413388,80.82548928,8859.148783,43.59064199,9976.437841,26.73887631,11449.48822,17.68727792,14808.89761,23.37494923,17781.8816,32.69043672,19902.18718,35.26213224,21200.10641,33.8508995,3,3675,2875,0.108528459
12077.73278,199.6338787,8492.72092,41.17303979,9484.057144,10.71048237,11528.95412,33.10141323,13409.97039,44.24755452,16344.51334,48.66645847,18280.75113,45.16404592,19604.68116,41.06628405,20500.24385,37.09355957,3,3675,8075,0.22961945
8226.583989,94.32161809,9107.518466,102.5459216,12698.30819,76.59707547,15932.76129,52.04442147,18514.35151,35.35269677,22457.71492,17.91603596,25192.32142,7.249535779,26750.59571,7.208598851,27298.21143,9.603853945,3,3875,5475,0.123774827
12081.97442,199.0451544,8752.774632,26.78133055,9463.043481,10.08222141,11245.46271,33.50368586,13075.37734,44.68455192,16158.07151,49.03836053,18287.92322,45.29548001,19747.38054,41.00353348,20709.72095,36.90917989,3,3875,8075,0.022918685
7398.417777,79.57223392,5228.280484,48.21824267,5989.626766,54.41387209,7050.375964,51.55224803,8352.448925,51.57489963,11109.66679,51.41118478,13518.65573,48.55799286,15434.06259,44.52567767,16868.25261,40.30498518,3,3875,8875,0.063019274
9884.936316,58.51941128,14298.50797,91.5494862,16557.01452,52.3720936,17964.19517,23.23634217,19323.14115,18.55186491,22442.02497,15.72472779,25205.34767,6.222016908,26922.2335,2.372226626,27572.48924,5.332168315,3,4275,5675,0.037463025
7395.660977,79.79065375,4517.581261,24.11541676,4041.625494,27.05321841,4503.695956,32.76824144,5522.5099,36.35838343,7990.96846,37.60735624,10486.71285,38.90091225,12723.22341,39.17339419,14521.47853,37.73148809,3,4475,1275,0.008938437
7395.663411,79.79028201,4844.499833,13.20765546,5970.535749,17.95956317,7467.277752,25.59860289,8780.871938,26.89827971,11538.41324,32.05005678,14350.70584,37.48400009,16654.75521,38.79169844,18287.1367,37.08238434,3,4475,2075,0.024736048
14105.99774,247.9236858,15212.65781,114.8757993,15967.42643,82.01974394,16608.85472,54.55138329,17821.18366,38.17395029,21392.78183,22.52619547,24744.65202,11.93305758,26831.76766,5.289870246,27658.56139,2.831708056,3,4475,5275,0.291819558
10537.34741,79.56604355,13547.00984,51.17192668,16010.74263,47.38721536,17704.22794,29.97257847,19181.3657,23.33934637,22246.83804,18.45319989,24893.70057,12.0385308,26582.56806,10.39808803,27264.09144,10.57559701,3,4475,6075,0.317425998
9963.984725,69.46780523,11336.47239,54.66915026,13436.63343,55.50547282,15957.0455,48.94646952,18193.51766,38.70903173,21767.09634,25.69879194,24315.61783,19.24729605,25898.87132,17.74152671,26575.23103,16.98783695,3,4475,6475,0.064926374
8604.968582,110.9388164,8512.84349,61.54485825,10958.89169,50.23356055,13926.63425,50.15264655,16661.8432,45.42288415,20710.88237,33.97621014,23282.20719,27.28954694,24845.24545,24.87184816,25573.89217,23.01433889,3,4475,6875,0.02260132
17154.66695,129.7693343,16485.91046,68.99157751,16661.2487,61.71214113,16795.99935,46.23746886,17667.35236,35.44170171,21065.98858,22.45943129,24527.35432,13.06776073,26738.74972,6.78881896,27644.90111,3.264056428,3,4675,5275,0.373417639
7396.863882,79.67241034,5336.940468,35.1329569,6727.567507,40.68966901,8357.415531,38.99230771,10070.98302,42.7454709,13543.03431,48.20525089,16519.33014,46.36046168,18674.63524,42.30326902,20063.24354,37.89133701,3,4675,8275,0.033951511
7582.83843,76.45337394,5794.130261,36.92874043,6298.968783,14.47734908,7705.680993,11.37946224,9833.392694,1.072835157,14662.87995,21.25250583,18559.8194,30.38508136,21131.32527,32.5336985,22589.70939,31.02419396,3,4875,3075,0.013776016
