200_density,200_grad,400_density,400_grad,600_density,600_grad,800_density,800_grad,1000_density,1000_grad,dipole
8656.93303,112.2188255,7597.341244,70.00796776,7041.797754,44.19752026,7265.171755,42.11488835,7931.179657,43.05386512,0.009338995
8656.93303,112.2188255,7611.521379,67.57984898,7140.335794,37.31678815,7536.277455,38.26842594,8386.931213,42.05407269,0.03097928
7391.419336,80.1077443,4215.056702,13.49768375,4638.139568,35.61309546,6278.532303,46.01026684,8048.149879,48.10407013,0.055078706
7590.690018,75.73990345,6942.516611,95.25534967,7384.879493,74.44879525,8365.924466,67.54857464,9861.872469,64.89398339,0.023476675
7582.769376,76.46092024,5505.440377,46.36769125,5126.986,42.22902042,5316.481195,40.38219347,5820.748546,40.63791854,0.0
7563.280455,74.61600385,7232.87452,43.7581834,8506.088443,11.74497908,9879.14688,24.5194045,10982.1013,32.200014,0.017327852
15163.87589,313.5801622,12394.23099,62.78068023,12026.78974,43.78951612,13111.85867,53.73758325,14511.35914,55.61302413,0.23183353
16835.05874,258.8600676,12592.36487,51.01171929,11980.56963,45.60846211,12981.64471,55.12411767,14377.53957,56.5362464,0.342034762
7607.054821,74.73905004,7155.82289,25.69820138,7847.978744,37.05754549,8210.676568,40.8525567,8907.874217,45.82612003,0.068832707
16778.0345,263.4787873,12036.61467,63.48380069,11034.38546,35.35627187,11892.73843,29.57469835,13504.47482,31.08462361,0.406871088
15044.88603,319.9557631,11337.43625,88.1224718,10940.87767,39.31484108,12168.50549,32.46766261,13859.33171,34.78678629,0.383240546
15049.46375,319.7157395,12234.5443,59.08471991,12821.685,30.16627249,14211.85282,45.20776304,15690.54862,49.48783788,0.118481574
8580.683137,112.2865711,6597.693323,59.53491154,6059.9928,47.86716091,6561.86901,48.17023077,7384.24598,46.26868585,0.018261216
8701.01618,101.9781136,7904.712343,14.22258254,8053.100894,32.98556851,8805.702699,42.42760627,9541.384148,42.17856662,0.090740943
7533.072746,75.83973095,7008.255384,18.39134339,9315.319035,11.68437706,10965.99332,20.22193864,11897.79638,25.49075629,0.142636096
15234.27703,302.5949669,12407.6798,35.95607487,11541.34288,11.21282569,12379.08465,19.17421673,14086.57796,24.94720966,0.020079388
8165.73112,89.65120258,7734.707648,55.07978124,9631.912744,32.46629702,11905.02654,38.96393498,13708.06547,45.62599763,0.06502195
8917.951687,63.68926684,9321.378262,22.32188883,10049.16352,11.05443493,11413.52791,31.95927514,12795.34391,43.24563375,0.006875493
7588.002272,73.88749237,6743.126601,15.44596232,8452.893428,7.807392446,10796.23707,12.01553943,13016.55878,5.852162618,0.070896436
7724.422786,71.18830401,8097.502922,68.59622855,9484.52716,47.30482916,11249.5052,25.4960901,13591.37083,15.52137583,0.132396594
9337.66411,139.2921539,10121.063,44.50059057,12919.03831,23.85394012,15820.70675,21.77753091,18137.50597,26.18581124,0.050375798
7609.085344,74.75441114,8127.9053,38.42075686,11883.97626,32.61127844,14957.57588,29.70035051,17228.6538,33.20814278,0.180599019
8149.928957,91.10904411,7220.234153,72.15852147,8443.746112,47.91401127,9870.689744,44.37885408,11122.50814,47.72712282,0.034484769
7492.359813,76.14221246,7309.660825,25.92686551,9606.351943,22.79929509,11381.27774,14.05417845,12901.29051,7.899169786,0.00986691
8898.730896,125.9344975,9063.059036,73.26070781,11426.15072,35.9410577,14701.49504,30.55411331,17508.79494,29.57158969,0.054054197
9339.875229,139.0931287,10020.47447,52.37181225,12666.04084,26.30188748,16130.14263,22.21521129,18959.87222,20.91013784,0.071653771
8968.30733,109.2410989,10606.28555,35.52538614,13281.93114,14.90474961,16397.70188,15.60034183,19025.24589,18.08125878,0.174590485
8165.048649,92.56650929,7608.110002,79.69867873,9002.191899,46.38001218,10299.07847,31.9765438,11286.38356,27.77899891,0.022072464
11132.17908,125.2524344,10152.00507,21.61936628,9914.455755,22.68509332,10673.21644,19.89069499,11780.21634,17.73424513,0.053168616
9771.314314,130.5117059,10071.00217,61.11275468,12754.6543,18.02386956,16357.16025,19.44878514,19265.09672,18.15035289,0.001703879
