 ,XM,YM,BX,BY,Width,Height
186,2826.547,2121.054,2785.251,2080.001,81.900,81.900
187,2654.120,2126.700,2620.801,2085.851,67.600,82.550
188,2431.341,2128.550,2398.501,2091.051,65.000,72.800
189,2023.406,2140.812,1986.401,2098.851,74.750,86.450
190,2238.108,2135.188,2208.051,2098.851,59.800,70.850
191,1610.901,2143.641,1573.651,2100.151,71.500,86.450
192,1403.232,2153.506,1364.350,2108.601,76.700,91.000
193,1829.771,2153.503,1794.001,2109.901,72.800,83.850
194,615.601,2173.187,581.100,2123.551,65.000,105.950
195,799.313,2161.605,748.800,2126.151,96.850,72.800
196,1033.320,2177.687,1004.900,2142.401,57.850,68.900
197,3264.655,2186.706,3229.201,2149.551,70.200,79.300
198,3067.231,2203.044,3028.351,2156.701,78.000,90.350
199,1222.814,2198.427,1177.800,2158.651,89.700,81.900
200,2425.560,2209.192,2390.701,2163.851,70.850,92.300
201,2827.933,2206.654,2791.101,2165.151,72.150,81.900
202,3483.145,2227.214,3418.351,2165.151,156.000,114.400
203,2650.986,2213.507,2618.201,2169.051,67.600,88.400
204,2241.734,2214.660,2206.751,2170.351,69.550,87.750
205,2034.833,2225.640,1992.901,2182.051,83.850,85.800
206,1824.301,2230.003,1786.201,2195.051,75.400,72.800
207,1641.998,2235.434,1610.701,2196.351,65.000,79.300
208,833.501,2253.803,802.100,2202.201,63.700,98.800
209,1013.720,2253.034,982.800,2212.601,61.750,82.550
210,1426.544,2274.713,1384.500,2236.001,85.150,78.650
211,607.894,2307.892,562.250,2259.401,84.500,89.700
212,3468.594,2364.663,3417.051,2317.251,111.150,98.800
213,3240.677,2385.393,3200.601,2338.051,81.250,98.800
214,3053.757,2403.233,3017.301,2364.051,72.150,78.000
215,2021.673,2412.853,1987.051,2367.301,66.950,92.950
216,620.786,2394.773,590.850,2368.601,58.500,51.350
217,2638.262,2415.209,2593.501,2371.851,89.700,85.800
218,2252.638,2417.197,2212.601,2378.351,81.900,78.000
219,2434.183,2416.754,2395.251,2380.951,78.650,72.150
220,2842.141,2415.342,2815.151,2386.151,54.600,61.750
