dx,dy,fx,fy,patternID,grad100,density100,grad200,density200,grad300,density300,grad400,density400,grad500,density500,grad600,density600,grad700,density700,grad800,density800,cdx2Dipole
600.0,2200.0,63.0,964.0,0.0,0.012768665605994342,53.463635474138634,0.050691947302705716,19.289080415579168,0.03390420309377138,11.824623630166194,0.019157387686203554,8.412128404548806,0.011520891907720618,6.401920308617215,0.008095214032356137,5.1935671016229685,0.006579986131714586,4.466672945262564,0.0057855735303675064,4.0172795946669675,18079.677541372246
600.0,2600.0,48.0,1182.0,0.0,0.005698095775938212,53.467346139327475,0.0502482649002682,19.313931444683835,0.0336780391131448,11.841310922759028,0.018390732232637798,8.435774279810449,0.010229850525479504,6.448576004717126,0.0068038329253086284,5.2682626116849764,0.005653688697449501,4.578442710222573,0.005253453964292522,4.167751243026437,7383.694061917788
600.0,3800.0,68.0,1843.0,0.0,0.0059837354295703485,53.351335531748326,0.0005482279456296295,16.5327114223525,0.0005781553343697324,7.700654284999033,0.002954032251866113,4.671614651752989,0.005381037493300099,3.6662963650368434,0.006515752271016621,3.4190552443770854,0.006663463000551625,3.415447742438728,0.006320222913778952,3.4708800572710388,34812.58802502336
800.0,5800.0,182.0,2800.0,0.0,0.0059837354295703485,53.351335531748326,0.012428447321674356,16.95496855245293,0.02976395834061012,9.883279318662748,0.02603169102315897,7.681266005967736,0.018537842448206006,6.339254960365019,0.0136317531595671,5.444690750604238,0.010915198490390552,4.9154260427481145,0.00928071093713069,4.625187955646045,27538.67108267936
1000.0,8400.0,284.0,4164.0,0.0,0.005983626807463448,53.3515515481176,0.010043816251392388,16.943453102059973,0.01659096605850809,9.060611919394407,0.012344140456308642,6.101539933521032,0.009374176510720563,4.608912628693257,0.007687990891237038,3.782951617534619,0.006441241459768562,3.2759332263556438,0.005537301544686995,2.9409792193108393,917.3058377662272
1200.0,2400.0,359.0,1055.0,0.0,0.0059837354295703485,53.351335531748326,0.007593327710028353,16.900200992097265,0.01739655089523322,9.962914259041126,0.011824448754629596,8.012225831721116,0.005284368578042508,6.952838886535545,0.002111864698468154,6.275087280604355,0.002616495589706967,5.817096769605688,0.003357560248652525,5.463852219475455,25861.050636043383
1400.0,5800.0,476.0,2751.0,0.0,0.4648398519717142,67.94847205236759,0.16739627661950154,33.73228043179402,0.048391377570921344,20.090130605506886,0.016989426758949416,13.730327755929585,0.008784396442873474,10.550151856311194,0.007949490404722577,8.871127107979836,0.007850040995057575,7.893917574292813,0.007370216198195897,7.250419832662928,38132.82229261296
1400.0,6000.0,470.0,2928.0,0.0,0.550744968641535,77.42735115002307,0.13603531732085783,37.54232066968313,0.03439535823454645,21.04697500990714,0.01332819005645028,13.958180644719754,0.008525213744334719,10.590541750313902,0.008277006542884059,8.838574862749077,0.00812292625250518,7.829288879289021,0.007561108082079973,7.178835005591745,206631.4742264595
1400.0,8000.0,513.0,3933.0,0.0,0.005983626807463115,53.351551548117584,0.008575706186863366,16.993863601891224,0.0060757483970386664,9.88373217786206,0.006386911788724941,7.9215266937921305,0.007481762720120841,6.748409304046231,0.006707544605596167,5.789800308972605,0.00601089245140392,5.056463491086558,0.0055977921898726374,4.541989578542541,25442.87587911398
1600.0,4200.0,544.0,1927.0,0.0,0.5550498522191103,77.24618442129956,0.13949470225737842,37.37051290626406,0.03989310693727079,20.555870120075145,0.01676759299033753,13.336938493754007,0.009557636562543036,9.916574536219786,0.006434306580317813,8.140150036681707,0.004855564224682536,7.154494416337312,0.004052931929783771,6.576850220286722,342205.49845085776
1600.0,4400.0,599.0,2190.0,0.0,0.460948151458955,68.17006557362119,0.16921586231733426,33.55384819429879,0.055061387140527246,19.08776872648099,0.02380949087723918,12.567201940929602,0.012292801700475512,9.563061220750729,0.0072044850244684724,8.071024850619393,0.005194965979143349,7.242784091500252,0.004450474609043047,6.728913568394742,65290.925372520185
1600.0,6000.0,634.0,2920.0,0.0,0.45958204877656794,68.21110676270129,0.1687088566893035,33.59359670732043,0.051529076977051884,19.451521873475727,0.015619942342464657,13.560446982477414,0.004636260232684372,10.904977741296507,0.005430772726204071,9.458830440767757,0.006240975934635105,8.527046965752584,0.006185814412266964,7.858338813830024,87962.01373320191
1800.0,1000.0,660.0,310.0,0.0,0.012768665605994342,53.463635474138634,0.04919033165189335,19.128190921152285,0.028877920545497943,10.963448900833479,0.016058031261324122,7.308742698177062,0.010943758461645596,5.449673313939683,0.008744728657559002,4.4690694184174005,0.007533249361163808,3.936743470129315,0.006615938458903139,3.627893607944754,8494.945144025358
1800.0,1400.0,644.0,522.0,0.0,0.005698095775938212,53.467346139327475,0.04152034542547833,19.408269556879816,0.013378162105364307,12.072705637927614,0.001364308275216858,8.757613756950407,0.004378901716111595,6.952013966604211,0.00598680078095055,5.9396140912053035,0.006221981351671966,5.313452367459303,0.005824720524481837,4.869430453216579,13270.53974034214
1800.0,2000.0,653.0,817.0,0.0,0.0059837354295703485,53.351335531748326,0.006229254037532986,16.836845808139866,0.009833728734354848,9.500310910312432,0.005018589117868425,7.758428200909977,0.0021698800302174647,7.220637569871275,0.0020975548874013353,6.870070758883226,0.002535734248472844,6.483741092779529,0.0027702828257063017,6.065138891292353,23783.180884818583
1800.0,4200.0,697.0,1972.0,0.0,0.460942015354697,68.17028158999044,0.15998679738831578,33.96059472218253,0.037174767529166736,20.31426197763644,0.008112844032986852,13.753118615636685,0.0011338870632186483,10.365998010503237,0.0016523028010107463,8.515578948601261,0.0023308166537972194,7.461686476916736,0.0025857110821130695,6.845609533068214,66674.57483928937
1800.0,7200.0,710.0,3531.0,0.0,0.007160619001781038,53.3756413077887,0.033233875888249303,18.208018549045043,0.025061022057905214,10.984942202733993,0.015067646908056705,8.558991202002593,0.008709563310924819,7.555822196529029,0.005961050972078815,7.102404114079589,0.0054197944956091305,6.828724908725902,0.005346210711630388,6.583693892381538,30223.489672769425
2000.0,7600.0,785.0,3704.0,0.0,0.005954184768750912,53.40114336717899,0.0010511572005827445,19.86008246748941,0.006611002098423056,13.440301900886688,0.005695461659050446,10.325384141529415,0.002144662922681187,8.482670633881922,0.0018679602110047847,7.413977367963917,0.0034967377420547807,6.762726201169347,0.004373151169976405,6.313342163813487,52308.67713869277
2200.0,3200.0,891.0,1468.0,0.0,0.0059837354295703485,53.351335531748326,0.0035175954116228804,16.951826466853532,0.004846656199198291,9.71508632176459,0.0031841100431116757,7.465775931233177,0.0013220948887464096,6.571295895236982,0.0011801192084183957,6.234372460676241,0.0016988312557205008,6.081474841664549,0.0016360091936303495,5.971529781679313,24331.846826741286
2200.0,3800.0,877.0,1794.0,0.0,0.005983626807463115,53.351551548117584,0.007923288685258814,17.24764271654364,0.019878117056354918,10.816406408036384,0.018565984619452275,8.967972831219301,0.013174228400117902,7.809109239787192,0.008650733342478501,6.997605820702495,0.005535295082834848,6.495574198184612,0.0035041644039178208,6.220354178419334,16110.260115839224
2200.0,5400.0,895.0,2609.0,0.0,0.012678330051776023,53.488748427141964,0.06985749759673776,20.78217167102225,0.03972972675400675,13.984751621094942,0.012197265184384564,11.202406461539253,0.0051050885900268675,10.076921617845779,0.0043390911504586184,9.524810622159558,0.0034660808028619027,9.113809999116807,0.0028900345978029617,8.724869180439645,34459.38677631974
2200.0,6600.0,972.0,3261.0,0.0,0.005983626807463448,53.3515515481176,0.009224542392871583,16.998037314279024,0.01397159801561119,10.123592767778874,0.010489931306419707,8.992550586499965,0.0077867546222965545,8.872262074750907,0.005964918606604676,8.764317072786003,0.004707041275343196,8.550087759841517,0.004002336106247045,8.261807474829302,35082.48846646999
2200.0,8000.0,927.0,3937.0,0.0,0.004869954169236854,53.376837591138624,0.0331800736310169,18.197640199153085,0.02902782128089389,10.687737537976687,0.01971829372979026,8.003246431865238,0.012760985173931125,6.848088892227985,0.00879014902793248,6.231269682495338,0.006939300088311949,5.803803029421475,0.006094726274957759,5.461143099981264,18948.44801032528
2400.0,2600.0,974.0,1159.0,0.0,0.0059837354295703485,53.351335531748326,0.004036989075643394,16.74563838545128,0.0055074874954018456,9.519961837837274,0.006839148006235543,8.08874356389015,0.005992748829591031,7.55018647142255,0.004137455681196352,7.086318497765931,0.0027713910341351476,6.6631282275556964,0.0019216673301754017,6.296177573748246,34198.45072514251
2400.0,5000.0,1003.0,2387.0,0.0,0.00805636331701237,53.400323722436966,0.06060197056982589,19.80449161108852,0.043983487380576516,13.046156907245832,0.020150436259768725,10.0317393185143,0.009966785351627197,8.826260304445814,0.006585380772893573,8.420991294292147,0.005054243497899053,8.24982165733824,0.004140603931997855,8.09277871929916,4216.470680557378
2600.0,5400.0,1119.0,2590.0,0.0,0.00502503585982489,53.492848198717795,0.0693965980003707,20.81833848160834,0.0403372483334501,14.046101452701368,0.014380592121261915,11.099390888699455,0.006474288715369268,9.820908851376048,0.004897414546910568,9.319178459356406,0.0038078703627854355,9.06613595714968,0.00295010190260626,8.833866539922592,14987.27997336408
2600.0,6200.0,1094.0,2964.0,0.0,0.012772059090263212,53.46406047068602,0.05111313107821376,19.95606265554212,0.03154564242099501,14.075593460531243,0.00966271413923154,11.738595494603908,0.0009897924189456366,10.470834368155995,0.0027031152086275964,9.783295340494886,0.002485303896615133,9.352771885841555,0.0019971749898177013,9.002569555965525,12866.459691772248
2800.0,1800.0,1188.0,747.0,0.0,0.007160619001781038,53.3756413077887,0.03505815372768218,18.206116248063203,0.0331369534425054,10.920153683493428,0.021884603321003712,8.418134787333488,0.013419310253038629,7.304359526346016,0.008533051440121245,6.638948501598987,0.0058690833929749536,6.130097280280247,0.004397944049627562,5.696673748794376,31965.600713892425
3000.0,2200.0,1292.0,947.0,0.0,0.10018005032736006,56.02654966698228,0.05510536988498499,24.76808906240458,0.005270636619165778,15.785272224016518,0.00409449545359092,11.249779362320805,0.004655240693181736,8.736123856801363,0.004016978973166097,7.316260546756771,0.003293005389536739,6.464315223457459,0.002701589288634697,5.904953367059116,9152.516703071347
3000.0,6200.0,1327.0,2977.0,0.0,0.012637264402412971,53.57964608171779,0.06927228371308285,21.750536863342987,0.03980742820383315,14.475913026352103,0.016832070479836706,11.149651698905469,0.006267817845708901,9.820652596475897,0.0035904520657046596,9.326820549006772,0.003028870357972068,9.083216396414121,0.0025724963205615735,8.864543915396256,24892.52492215284
3000.0,6600.0,1314.0,3271.0,0.0,0.005697693912792576,53.467569428088474,0.05630583779397903,19.575641670211603,0.04170417868857273,12.657795159993658,0.02149746362175438,9.99490984489135,0.010415289812376645,8.913682868271184,0.005954583752862919,8.545027560256763,0.004290104423646338,8.40984714516317,0.0035857944406075567,8.282441155829193,27315.628237329634
3200.0,2400.0,1381.0,1016.0,0.0,0.09033946548882751,56.082515589202174,0.08613007413834833,23.179883647068475,0.03899067773176215,13.375571138117177,0.022016613294937468,9.437684626196985,0.012933351349320088,7.563763883483295,0.007972684252668774,6.5387434211564175,0.00528033344324179,5.920358032493729,0.003667857497468271,5.519721730447085,46494.584469591726
3200.0,7600.0,1434.0,3716.0,0.0,0.39176432353443236,65.29875997652394,0.09822706853976214,26.936779935214286,0.02786096353795876,14.14171177273546,0.010972759995376002,9.406813596283339,0.0037907668980517893,7.6726584307526835,0.001923573751191364,6.994697582533306,0.0035877676903023205,6.6358071004235395,0.004462057540270244,6.36212632280707,29363.80206989551
3400.0,5000.0,1516.0,2341.0,0.0,0.007160619001782018,53.3756413077887,0.03768774029980572,18.33705218846127,0.03881410791029917,11.733558964927012,0.02716325228690982,10.002108854973857,0.017900020291558412,9.411205774505001,0.012125775990805812,9.057311362968246,0.008402986761232531,8.738553631174172,0.005960153315511687,8.423859494169733,28928.050141687738
3400.0,7600.0,1543.0,3755.0,0.0,0.38714633123006853,65.47992670524745,0.09713812403501063,26.993468390532108,0.02366167741110257,14.347739127543724,0.0068177531554605205,9.698115805903589,0.0018583384080035656,7.823790671061124,0.0017511852509307798,6.979109756409747,0.003625663187353646,6.516857211224189,0.004495492233559317,6.198878719054806,81670.07407857545
3400.0,8400.0,1575.0,4119.0,0.0,0.0059837354295703485,53.351335531748326,0.0004466172055483885,16.547174687266846,0.008102718713211745,8.164816971244285,0.013039641899623575,5.7939956604325795,0.012159226506875008,4.912800541732333,0.009965704350996772,4.421001150903289,0.008235882715420926,4.102760269257072,0.007073107177004341,3.9006367285814996,19321.33271800887
3800.0,5200.0,1710.0,2538.0,0.0,0.005217901537310216,53.42647233655159,0.02248493149362292,21.92316448073999,0.029818265487519292,17.644579217345278,0.021245356568533956,14.935213305131501,0.012574658252452544,12.811087788764931,0.006445281033842045,11.249956513991682,0.0029594992449468956,10.082618495608235,0.0016461172779269919,9.194167437634416,115108.4038634886
4000.0,800.0,1798.0,211.0,0.0,0.0059837354295703485,53.351335531748326,0.0008739640583592347,16.54130066683294,0.004344540411449043,7.923933264504539,0.006118123139058663,5.006378679667459,0.005514993924569609,3.6755853639244505,0.004927726182362005,2.981155073752118,0.0046744692594448325,2.6369843571765665,0.0044975110229201,2.490148020424525,17923.566748836573
4000.0,1600.0,1812.0,589.0,0.0,0.0059837354295703485,53.351335531748326,0.00038793225368867,16.54150192837584,0.003685526718382958,7.9577598785767485,0.003160770978984345,5.367461053432514,0.0022252331825792283,4.628744510413861,0.0032665425002485287,4.403334784696857,0.003633312291015988,4.265811867340085,0.0035136801046088545,4.1298871017915175,38326.185839449245
4000.0,4800.0,1765.0,2213.0,0.0,0.39929384141930807,65.43574233356254,0.13295658913127706,31.352133560378043,0.04981291852300717,21.340192735652604,0.02775783740170071,16.459493531107384,0.01774237136927642,13.309422225850966,0.011872365206185096,11.121995736415547,0.008222161602000653,9.61545138481283,0.005891405595401811,8.588764770482587,128797.1574104025
4000.0,5600.0,1831.0,2743.0,0.0,0.01139367160043501,53.48913753352894,0.0230389259590441,20.81127015761719,0.011450432459814865,14.544741679008217,0.013037948994590168,12.314518944292784,0.012180995633572536,11.130769809039256,0.009267370244397697,10.232643249895949,0.0066406529569150215,9.466021118351346,0.00483950471528313,8.812483829334456,82453.31385093021
4000.0,6000.0,1841.0,2876.0,0.0,0.00582911015682953,53.57964608171779,0.0005038747697767574,21.753320137565115,0.0035163083178280574,14.452887570626553,0.007077383530076939,10.909502568739509,0.008975379264113651,9.338622015647548,0.009027211537163777,8.645246431714643,0.007974510346699284,8.257207751259788,0.006602921909180851,7.960687697048175,31213.90666033331
4000.0,6400.0,1824.0,3113.0,0.0,0.005698095775938212,53.467346139327475,0.0481126301069994,19.201159519247984,0.026490570376612812,11.7214894112582,0.01306230294247715,9.049277112253327,0.008568309187616889,7.918664846827716,0.007733075752777793,7.429595609951482,0.0071821512642766165,7.219483484795172,0.006413723457448755,7.10716093095651,19299.69473851853
4200.0,4800.0,1982.0,2274.0,0.0,0.005742816273459504,77.42756716639232,0.008396168730169157,38.21744572959002,0.016087733887609507,23.862933471807256,0.013548742845133485,17.70938997979434,0.01029044688455595,14.018188922708534,0.007802582380150188,11.51891921187894,0.006014814209264176,9.803572214761392,0.004742498564648758,8.634923002097674,104518.09122826536
4200.0,7800.0,1961.0,3830.0,0.0,0.0059837354295703485,53.351335531748326,0.00019998585912313195,16.543908194691863,0.005363060145199509,8.145767122630343,0.009586355542719669,5.913048376040846,0.00921491145367276,5.264562605502745,0.007445612393193686,4.962178843679973,0.006046929995204549,4.7535851117925185,0.00523546082245375,4.599292278675446,26138.646062870204
4400.0,2600.0,2014.0,1135.0,0.0,0.005991285282093867,53.35154451192646,0.010546863231302701,16.93980417424928,0.0163819517001763,9.105923281718177,0.009921263838725068,6.41562810992062,0.00452334322980354,5.232654533263058,0.0026351916060499973,4.646574884603614,0.0021969961880536127,4.360953638701554,0.0015664560842353968,4.261147569545897,33688.1920114452
4400.0,4800.0,2095.0,2284.0,0.0,0.38605833162553077,65.7329196698652,0.06984386164919867,33.87606922136583,0.012385243562827325,23.642520113014175,0.007457061101430986,17.632840279050537,0.0073346987244081435,13.874929374964038,0.006256763965829563,11.378630658254242,0.005142099545148276,9.667741820732989,0.004246033856618218,8.493089091477145,2619.778998312644
4400.0,7000.0,2037.0,3403.0,0.0,0.0059837354295703485,53.351335531748326,0.0005103182790863112,16.579147342199015,0.005607936007358229,8.372943256692187,0.007530844044100283,6.067893203207286,0.007498655089524282,5.3520950023130744,0.006669754198053898,5.171889943731901,0.005768301820720585,5.172504554854107,0.005097221849996288,5.219763504463334,31024.81337574813
4800.0,3000.0,2257.0,1343.0,0.0,0.005975958518141894,53.35155882050932,0.009516242145300701,16.947270388661153,0.016570324363146937,9.079527945288682,0.0119975247985214,6.172375196487842,0.0076464493396411,4.744755495834451,0.004644238927811321,4.101980611555944,0.0026292425113727514,3.9463757629101126,0.0014259158152330057,4.050284504511964,74280.11117385326
4800.0,4600.0,2229.0,2153.0,0.0,0.3920497196287698,65.32387292952728,0.11633705998332235,28.908814762178054,0.046689716606149526,18.5061574551645,0.02479067475868487,13.92299868867636,0.01569081419862473,11.206214231228879,0.01079669715944364,9.456076529595174,0.007666590487727873,8.274140227195678,0.005588862438742145,7.453236077651532,13655.984658749438
4800.0,4800.0,2238.0,2245.0,0.0,0.3871230257466323,65.59593731282662,0.11242081205340156,29.907865982600825,0.05089413808584446,19.00924026688438,0.027937133339961562,14.214931749950416,0.016668997645397567,11.516699331094955,0.010681718848773683,9.781228799733093,0.0071792150672603545,8.577937347844834,0.005063555242019145,7.720402318517173,14468.083252456076
5200.0,2000.0,2425.0,828.0,0.0,0.0059837354295703485,53.351335531748326,0.004917174353409285,16.69448061425142,0.011353175524121554,8.630105046316034,0.0077764688137279825,6.128639552047116,0.005448340412432637,5.269809580778564,0.004757949896070543,4.962672973928043,0.004237626849450378,4.815378652072795,0.0037181583241413904,4.7051481393264245,28015.79734721109
5400.0,4400.0,2530.0,2056.0,0.0,0.0059837354295703485,53.351335531748326,0.005059943240285627,16.776568568966866,0.01658675890841453,9.553812255648829,0.016430015411365028,7.764715240488597,0.01274168827856109,6.986892907918154,0.009333037546594132,6.508868946158894,0.006714731075133704,6.187417200161411,0.004737242096190245,5.968368038305467,68512.20318308265
5400.0,8200.0,2573.0,4009.0,0.0,0.0059837354295703485,53.351335531748326,0.0005482279456296295,16.5327114223525,0.0007956608146839636,7.7222748228145255,0.002883750358571664,4.745997304609251,0.004114269821286432,3.7024652593085583,0.004264990938361314,3.3142005365406506,0.003946685029744176,3.1269214040272066,0.0035581870926043456,3.010840352282296,38026.694636794295
