d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole
7637.150076906196,73.60094512360973,8690.98300539323,140.56216031179827,13766.266565427653,188.5168660354962,18048.919095795696,183.04654748668406,21478.598298434194,172.04990764423624,0.0576476175010313
8550.56989823511,98.51354691331835,14220.349615072015,201.10179207304955,20575.143221368086,212.50924277827647,24760.910284473717,197.0452306231858,28080.44802563884,185.27014694567086,0.337639420033066
16016.580948853045,370.43334195833376,17945.604670537417,233.8134101374963,22084.414094899887,209.11652478266893,26506.01359105976,200.0783559047968,30600.945766710487,193.28773811696544,0.6253909486506274
13166.935944525147,244.83002811688823,15239.028413752423,204.56947542925067,17947.59216399812,167.16650385834402,21184.577561091955,149.8531831201346,25473.676309858714,149.03909196582447,0.0163411133449901
15310.334989351162,135.16128220371704,18361.097432230636,191.80928256082026,20402.403160845315,161.32168280861904,22826.381612286637,148.22895425876354,26472.44703792715,148.75598665728404,0.1511638379209783
15163.631013374617,218.38318356165703,20785.644814171643,183.2757661382759,22928.099538858794,146.21871859367752,24907.330186136194,142.3549172647297,28027.15333246622,147.66891193316468,0.1762617822134315
14705.646123680666,232.1958896660486,19247.97810011851,171.62275559398662,21938.53181606942,145.4931295772214,25034.420468290027,142.11328516100036,28656.63108975595,148.21395113801108,0.1057279958627096
11828.472342849289,250.46251424787383,14734.804559129092,152.28875538073444,19193.24618691135,137.65261797086274,23909.102638719367,142.87256071691095,28409.92135169733,150.08004488523622,0.4411994723711515
9611.81730953075,76.56904174316256,13622.818122274346,118.36566249058363,17277.59328151698,133.70082404013345,20771.49075821944,139.76620356782976,24397.391128753832,146.64576356362673,0.356441210403667
13364.635896375357,133.80300791078844,13583.257400841723,110.59122795202607,16145.464726455131,137.2811978686846,18734.495925927065,138.62416118192542,21602.823697906566,141.76788785729664,0.1941654272234186
12392.032502500717,204.73711339482333,12228.10269778596,135.80576648896619,14672.052472227171,142.39712396703703,17150.502611087853,138.1800250419565,19831.459309699614,138.5738355876274,0.3121580761223723
17612.03664287247,275.1467896924345,22861.53945071444,169.44759613107962,27274.84884662695,186.23550045146663,31369.673696199025,189.54635006473495,34950.089383198894,187.52260651066183,0.0190410877766122
20849.960043530697,126.6894807886493,23004.95947123049,170.49683691450556,27017.134348083295,184.4497362643907,31411.80237728629,191.14892822361278,35407.25885989004,190.356055590792,0.0442493360294503
