dx,dy,fx,fy,d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y,Diff_of_means,CDX2_1 Marker,CDX2_2 Marker,Minor Axis,Skeleton
1875.0,275.0,1070.0,205.0,18722.90946518942,295.48512880576277,17907.300845925216,119.26418701982465,21144.603024236236,149.96974716776833,26251.10694156039,171.68492599761922,31535.444483815674,183.52138441683755,0.1167385015223118,47.0,1.2222222222222223,1070,205,-0.4232037830151371,0.0151515151515151,0.0567704695953621,71.70883896624662,56.35533905932738
2075.0,275.0,1192.0,195.0,19808.81430787251,210.22185247458376,17746.471015828884,106.03328126212793,21437.28953505026,148.06302290021068,26937.794391835658,173.53836435229965,32580.442272107135,186.0528481292507,0.0317585236026422,18.0,0.9809523809523808,1192,195,-0.4522504725494933,0.0151515151515151,0.0338210423091681,97.77318630087134,21.556349186104047
2275.0,275.0,1302.0,216.0,14139.798725409228,321.6261875595299,16767.535764171633,115.47088886184684,21770.898403197436,152.43240823613624,27598.88288355236,176.47333048764327,33517.41998508657,188.54677300169405,0.1165686909290841,21.0,1.1318681318681318,1302,216,-0.4154957660297548,0.0386336111252265,0.1741418884419185,67.03939824911016,23.31370849898476
3075.0,275.0,1734.0,204.0,14942.552312226835,309.9000366025697,19136.29950255192,209.80125744970363,24442.18688212935,191.18363692523582,30563.19390901554,196.3165718992317,36832.46183436096,200.47315062102658,0.1092713756535607,17.0,0.951219512195122,1734,204,-0.4791976560739239,0.0179533450471984,0.0414297368709437,113.0049270556428,20.556349186104047
3875.0,275.0,2132.0,262.0,16786.395362865675,212.31899768259007,20839.45639661221,195.33320157579266,26969.651217741186,211.64494106352942,33464.70018355479,217.5782303090105,39578.92201750656,214.16605014768177,0.0023701447836865,32.0,1.1578947368421053,2132,262,-0.6585804450535578,0.1834516643514946,0.0353118193583686,78.60844155880736,38.87005768508881
4075.0,275.0,2239.0,231.0,15069.120997027625,240.45563799259537,20974.97781826849,215.8166862725477,27574.84085288232,222.23942331584178,33960.08454713741,222.2245740371796,40026.96409263124,217.0872342510526,0.0757745579461604,31.0,0.7870370370370371,2239,231,-0.488822411093715,0.0741743766465645,0.0591170897916616,99.09236563948582,32.48528137423857
5075.0,275.0,2753.0,216.0,13346.681014546994,341.4398951363468,19644.532671934037,282.49763686049687,26406.4436375949,241.00904561769846,33397.00435552049,230.73231796805672,40195.279507499894,225.27089492612112,0.0433160481751685,16.0,0.8615384615384616,2753,216,-0.5864072285500521,0.2172642371995821,0.0289485635912544,118.55534323350018,18.31370849898476
6075.0,275.0,3282.0,230.0,16581.71869300462,420.1613217882342,19203.483550528672,257.3099163514778,24733.7719138836,221.676474838094,31760.426551727454,221.68296134065707,38828.83262907887,224.08675525183776,0.1505297499025093,55.0,0.7236842105263158,3282,230,-0.5545369285970914,0.196208366837562,0.0308115004606082,99.12639158945852,61.45584412271572
7275.0,275.0,3868.0,270.0,18674.570058006928,376.13475363937954,21402.699758670075,213.69892497818512,24842.904079335887,198.82669649072625,28942.02161404262,206.63316881699777,33172.00233369917,209.05846520781856,0.0283597238745088,6.0,0.9454545454545454,3868,270,-0.4646704197881112,0.0151515151515151,0.061220418838221,112.12570651756856,6.656854249492381
7475.0,275.0,3988.0,267.0,20416.645831249458,323.03693550575565,21528.79851311906,198.2755802337481,23526.884078118776,196.58801367192078,27055.714161557178,203.90780569451488,30969.532455688073,205.22795314063737,0.0755439321514274,46.0,1.0818181818181818,3988,267,-0.3801967896183436,0.3080497199433037,0.1219676856336134,83.63050829998386,57.42640687119285
