dx,dy,fx,fy,d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y,Diff_of_means,CDX2_1 Marker,CDX2_2 Marker,Minor Axis,Skeleton
875.0,275.0,421.0,262.0,13284.352640016868,281.3124291130431,11388.435130521575,131.5648558095061,11965.160953052797,107.70404412692778,13326.52924608167,95.87663659771246,14887.589185275465,91.40510103473567,0.1339466542811992,84.0,0.7676056338028169,421,262,0.1522281462385751,0.3663768952037914,0.4146675880287081,70.86790913249695,99.15432893255073
3075.0,275.0,1623.0,191.0,9533.493087106199,137.11096999398285,12110.429945393218,126.95366332137573,14342.023785353502,124.4592790751735,16477.544973368014,118.20420891195084,18830.633694047094,111.06393475162896,0.2583252372657979,118.0,0.8031088082901554,1623,191,0.0724413855208567,0.3709673044174667,0.3426068922533827,94.8863753604369,141.8528137423857
3475.0,275.0,1762.0,200.0,9355.589012884431,141.42640020484674,10193.051250036293,124.88951585002516,12249.280297879739,120.11921026096286,14985.632059981213,116.398060139266,17882.554981371635,110.01163510387973,0.1228137611953966,108.0,0.735632183908046,1762,200,0.107519835673111,0.3841544817365195,0.3971527605311429,103.25287044505876,121.91168824543144
5475.0,275.0,2845.0,132.0,8317.54843491625,101.79407024226424,9765.64831430947,147.1247800660827,11557.97056633465,110.10602773751397,13211.307544965814,91.7981401768216,15248.193959649141,88.02394077831651,0.2624151166707408,102.0,1.3426573426573427,2845,132,0.0766751538607033,0.3484853734080719,0.3302056713980336,120.7266392589726,111.35533905932738
875.0,475.0,422.0,406.0,16857.038760191554,135.24397910454368,13971.41053070845,88.44772922380253,14492.138003347365,93.28516173348297,15576.944444861,88.72150646856804,16928.14941249965,88.55150741930083,0.2377616176574749,108.0,1.1893939393939394,422,406,0.0662680849857668,0.4808649879072416,0.4015233200977259,100.8148789052852,116.94112549695429
2475.0,475.0,1300.0,318.0,11666.838818126249,232.69894411785552,13477.558431959496,132.2422300719573,16147.976998271219,122.01401171308736,18946.63191258762,110.90689724105205,21588.518881278775,103.8028430034254,0.2368055762657948,140.0,1.13013698630137,1300,318,0.0587099883959653,0.3816750878143011,0.3760869505971512,92.3681297170772,155.5685424949238
5875.0,475.0,2993.0,245.0,16550.78291681153,256.80036399670115,15590.662575872484,74.09874894977192,15036.354597540068,69.87549376552751,15648.742422848638,74.36350552810933,17109.727585488643,81.49130121112609,0.010015254857847,116.0,1.3106060606060606,2993,245,-0.0480385448280858,0.4256528689081237,0.2686148470121079,95.51283371586058,129.91168824543144
6075.0,475.0,3168.0,199.0,17045.63443428493,282.8112251222916,14777.460389235024,103.97656270523659,14630.966673228977,73.1369115095027,15297.12071562991,74.4803822423104,16699.91746093565,81.42696532538304,0.3260073108765409,136.0,0.8540540540540541,3168,199,0.0351289498547782,0.3218913338252214,0.270352230354122,79.61482039428947,158.61017305526642
275.0,675.0,84.0,543.0,8481.353645716485,97.96696543678608,11001.344653307377,143.86865933811208,12560.912350093773,112.87904330921194,13381.83973747362,94.66658291242216,14315.540361926269,87.62315057006093,0.0007335171360872,37.0,1.1904761904761905,84,543,0.2172592218484672,0.3020807003666577,0.4440938456307379,49.835872691916805,40.14213562373095
875.0,675.0,447.0,549.0,13656.957646908895,255.8310425341549,15199.95663919789,57.422879116247636,16537.167744103383,70.12442301868006,17541.00107226201,76.96154841737084,18781.046010506605,83.44655228160389,0.0126022243275094,59.0,0.6911764705882353,447,549,0.1278837420526793,0.4597625458716882,0.4834108476352678,86.22994679196954,63.38477631085024
