d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole
12569.750538343143,299.9096195184658,15206.124552203179,190.99833541580438,18516.581353139394,177.51954645304693,23320.73290524512,190.6351507272182,28067.155154810178,192.44041703977163,0.6546043738057977
21652.258103001182,407.670313928599,25964.20445333184,305.4509232253886,30795.914911502,236.28633592733595,35669.05765431321,209.09657223510456,40262.81668742617,201.45623346146817,0.2462886210059593
21974.051582245625,358.7235569769168,29766.18088620971,301.62130000923537,33649.694392357924,237.48383817812635,37427.49574639372,207.40979287986173,41439.88343101947,200.1942720173604,0.0804161653935737
24660.57780837257,453.9838523613145,33561.981431063185,318.609252941372,37090.41389438086,236.7860754611344,39331.763175445674,204.79428455121993,42527.73788252277,199.76646293719878,0.0184375332334325
23792.642285163496,310.4065487962945,33234.85579108172,335.3427703131963,37008.456975205794,244.53429364406168,39129.7244479565,208.015262361819,42343.03296578824,201.65415381418492,0.0
21255.611039384414,230.59613626938585,31183.09213023689,349.2652444723594,35503.931588578394,257.6046602923494,38069.54385562508,214.53055209531954,41671.26172434244,204.7572217380105,0.1351063766302338
17811.58672858309,280.2368939113413,27582.641842747358,348.8573049393036,32674.01655416867,268.951182527911,36235.973941409204,221.40011081124337,40572.314453846426,208.16805218062623,0.1880034658214589
9047.198398402057,144.2763701465685,13209.813339131568,223.66613540108506,20778.1356715449,223.1391230714089,28580.768248137887,214.3986231327799,35932.6892956251,211.3544842641416,0.387975557078747
15240.125780736611,339.8168474359921,14144.18833449029,183.21870472753693,17640.928212899835,194.99998981260623,23964.25002090449,216.04650310462532,30449.951495186902,217.8725552117843,0.8907852905129832
8437.881478168145,99.07109676917085,10987.475163388257,183.2851736136966,13101.387504399565,152.91343713462953,15366.511225157104,144.59915350472866,18063.017772763098,145.10323758186007,0.0037439904006402
10523.585525576505,184.65449781844018,11676.365797209777,174.9316220300666,15116.439817432065,174.54705206897984,18950.564474112583,178.8920987147589,22879.130416500153,178.1677823748403,0.0342602934842889
18118.207057862775,295.8205553670904,18693.359153398178,122.90029221767479,23938.6227942579,163.92606846590485,29785.198452124776,190.01945274650885,34762.347806498896,193.74712801448257,0.7101321883184188
20909.142873423596,375.2678694653549,25503.504490226933,226.39611386455925,31895.03119777314,179.1373277085266,38078.75126383771,180.82542371680304,43339.10203519894,186.52303681701727,0.6672660127441346
25111.89087001029,154.8864546968788,30287.664716412713,200.85205441805442,34956.6909545217,177.13241242101955,40091.27764517527,175.75170592052646,44881.450111390084,183.13580234038088,0.0474633852364631
28944.99041536714,234.69400805809255,37191.5497267817,135.8487021584363,40326.906132902244,151.47923718693323,43218.58646653214,162.85291263919035,46908.989406533976,177.97573731147273,0.3252209535203159
30909.120456011125,139.7622804962045,39081.57751824849,126.46887736126543,41790.99512684584,141.38558003262125,43903.55793576703,160.21941501380695,47260.76844431837,178.05706412477113,0.140499882034844
17849.278461562608,170.72556893594452,28324.224835337252,296.50692296786144,33541.194732623866,237.11798995278482,38491.73945836255,200.77495747923186,44027.92382530464,196.67952969482127,0.274982981769482
13047.63624650338,215.2557186269801,14345.885849867853,186.76864297658463,20221.940720706814,204.09698531143698,28118.483126887888,209.8446212468679,36435.037499148726,214.4742035949552,0.7079793756223073
13369.606249578746,208.7647905942435,14644.040981732232,191.28814842304894,20933.991851890227,213.47905411624092,28476.988533201515,217.38223939736542,36352.08364006398,218.52778098359923,0.3002293202793944
18725.265994808957,214.80911915961505,18208.61816716879,153.40134108972012,22649.018939382266,204.16767302459056,29500.64222674575,225.62074643240976,35956.46292348237,222.61836888009583,0.1382921638773417
17065.396414105526,312.049987044847,17937.954712212384,173.24052606247463,22242.515218368033,205.5862996178218,29112.738834936692,223.24658633236123,35370.780745824064,219.02637577526303,0.9852725365114452
10418.97006013006,180.2251739307814,15158.471398252885,210.48508642757494,18918.055341866642,170.64004590079978,22614.60284915449,170.89446874916607,25969.775380470433,172.27183306996935,0.2109744631953776
12092.29902157672,113.35068811890794,17183.782436094105,145.17211417508275,21401.145950995106,177.2711754636477,25533.81581205556,190.69232999441232,29392.969362725424,188.50542716798807,0.4521303440239168
17599.51639024015,275.1658849161567,20957.363090591978,39.39538165474013,26174.353849497158,150.0043500053149,31459.36829731415,183.17982200219407,35864.34787645529,187.82074312068713,0.1202984130421345
17856.35949836271,305.49058103219403,20507.355456564936,51.1594280937728,27540.342064917786,140.89448314858296,33823.725750129925,176.95581000432009,38699.00485360631,184.83604612262374,0.3043486494645935
18333.117021097598,285.0131001756174,26544.023721538375,163.91641721596605,34385.92211540201,123.42057053761572,41644.30379721031,145.6443301997386,47404.72886264636,164.91078005786704,0.0946363015489856
23769.56493939224,485.65302200535535,36334.71851619886,181.88506020000662,42179.43571972295,88.87682476378764,46533.552381681366,116.21665943710708,50988.25199491838,151.57932125486533,0.0042347387809466
27379.5778890232,310.2967523410649,38948.11215732227,149.25508009745093,43826.072142592115,57.2172071762701,47267.952995970525,110.77052752092969,51381.53247815666,151.38904349419107,0.006700773097177
25932.95311911176,249.457950630125,40070.35805232051,85.53699990547929,43238.320935812706,97.37348914347966,46337.44766146645,132.03842913657746,50739.20970587005,161.01815189439375,0.019262767414109
15289.04790316601,291.44462973796885,23782.913782649655,285.05383676399197,32048.077256949455,205.36669117145857,39781.01524277325,178.41014033438725,47014.63664877051,183.21737485792897,0.2731600548678306
24502.924924767533,378.8046376925874,37016.859095928216,231.79836400713893,44211.62576801095,45.570200006430866,49511.48890318801,70.97084228981282,54805.51885280913,126.95320218972095,0.099622690844341
29695.541142448554,140.78848028185442,38163.64772048075,148.72278110852398,43675.087570066215,59.68254139646902,48822.47114393703,90.42124995306511,54361.43995263454,134.3996347635676,0.0064039611177958
26982.01822444271,251.4277173607625,35974.41627770061,186.48517950464293,41531.976222144345,117.20493274770286,47375.29360582781,115.5179646990032,53523.18524084992,143.95548287173034,0.0221554123368888
20046.549237416082,338.4006491478746,30478.19654908812,275.46211613731094,38030.356219532456,162.11830055479862,45351.642384931896,136.6752600556269,52389.891639027,153.6038971814634,0.1383351285988946
9136.725653872762,110.60085274080403,16344.396747091372,179.01607160329792,27170.5768083315,157.64332415615937,37598.00449261948,171.32393547280964,47150.53122369019,185.2655530853796,0.5912210045751382
15282.353926641941,210.8236365278964,24671.940165346427,209.92699262753356,31585.23477505184,207.33564196278982,39103.63513923014,203.38528879830787,47007.906509602486,202.89914092648368,0.0311845306415742
16186.207972680468,255.29927583084694,23794.059172560595,114.69856981836689,32687.357125299368,190.91615927842656,40581.465553998576,210.78233104095855,46778.153309418434,207.2717349044338,0.0605197300595192
18052.63661307791,120.65723505015208,24395.539518583155,114.97132851856661,32338.39257083945,194.34164895361994,40030.016085608455,208.6432985717929,45931.607882151664,204.1659380595943,0.6038132520607108
19452.0802419078,299.22909116544764,22732.424162048974,117.87943257020343,26355.37824795127,132.95860729646043,29598.462359035348,164.59510729026715,32599.412604225447,176.49074955205862,0.5202652736166103
21888.716489521365,136.0557484288477,23235.53683223855,74.83816411905225,24378.517817258264,131.07207032814654,26546.250342482068,160.9584362151833,29211.00567000114,171.59723281968448,0.2511339832320458
19095.65369543152,203.77121913008838,20757.249985993894,160.21769710287762,21462.22153617859,148.32496245022088,23157.02234263822,159.23993353225435,25663.77144686494,165.732175308977,0.8095075913984205
13578.621131922526,304.3494405554008,15893.426133345598,222.34066585516632,17719.102965444163,166.22373659000633,19548.131638866416,156.56336281426596,22064.401966585574,158.0498808746097,0.7690781743316739
9386.562779296359,108.4800669328955,20982.84499608003,45.708972902253215,34246.285451280775,67.92054924799072,43634.19575915729,102.96697028256638,50036.764038312445,133.51718241814027,0.0978685707861186
14852.52345722627,139.31324028148163,23024.553159076684,77.45408874563778,35419.373705731006,36.38290836640603,46098.89053397533,76.4126471504765,53619.21807415155,115.1685478917857,0.1536812753819785
13531.608042058982,222.0763179651324,23114.15742948936,150.0620334929967,36456.59882631765,67.93560198567282,47369.069668080425,67.70589102609391,55033.74194053086,107.54423104398298,0.2458683126137457
23590.32491540277,422.5138128451529,33664.71915920388,206.2248234183381,42596.21461454961,66.67590065839242,50385.390901291394,57.543578983851305,57332.79729439359,108.0671509006665,0.0160317683401106
20493.654209427175,421.21417213624295,28749.363523411284,216.37370780082313,37139.11063125311,178.94654184685356,44725.02349481779,185.584088381316,52182.58355684136,188.35577495933464,0.0435648859869068
16055.058930117353,104.35762956874659,26564.30845182502,157.11747196694927,36279.504002979804,178.77414396149985,43877.60504556799,182.6804801517351,49248.0132450819,184.05700069021904,0.5363847253515777
17619.291704672913,277.9977722313051,24161.237095929373,32.16005380748417,28714.315088167215,120.64904504933025,32176.668172038175,163.31002639739998,35304.44821943033,178.40755774408396,0.8305196496039984
