dx,dy,fx,fy,d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole,Elongation,Aspect_Ratio,Centroid_x,Centroid_y,Diff_of_means,CDX2_1 Marker,CDX2_2 Marker,Minor Axis,Skeleton
275.0,275.0,182.0,166.0,7637.150076906196,73.60094512360973,8690.98300539323,140.56216031179827,13766.266565427653,188.5168660354962,18048.919095795696,183.04654748668406,21478.598298434194,172.04990764423624,0.0576476175010313,62.0,0.7661290322580645,182,166,0.2897612452558797,0.0862011781255814,0.7017669772686649,67.83600315263651,68.04163056034261
875.0,275.0,484.0,216.0,8550.56989823511,98.51354691331835,14220.349615072015,201.10179207304955,20575.143221368086,212.50924277827647,24760.910284473717,197.0452306231858,28080.44802563884,185.27014694567086,0.337639420033066,62.0,1.3663366336633664,484,216,0.0128951868474347,0.0616337901824952,0.3976526945758074,79.21139362457396,73.01219330881976
1475.0,275.0,841.0,193.0,16016.580948853045,370.43334195833376,17945.604670537417,233.8134101374963,22084.414094899887,209.11652478266893,26506.01359105976,200.0783559047968,30600.945766710487,193.28773811696544,0.6253909486506274,87.0,0.7986111111111112,841,193,-0.1529582524333247,0.0556473452473452,0.2247115049934401,62.010973346975085,106.29646455628166
4475.0,275.0,2337.0,243.0,13166.935944525147,244.83002811688823,15239.028413752423,204.56947542925067,17947.59216399812,167.16650385834402,21184.577561091955,149.8531831201346,25473.676309858714,149.03909196582447,0.0163411133449901,54.0,1.3523809523809525,2337,243,-0.372861267511144,0.0661598622169518,0.1125899410203126,101.44059691729788,57.55634918610404
4675.0,275.0,2494.0,208.0,15310.334989351162,135.16128220371704,18361.097432230636,191.80928256082026,20402.403160845315,161.32168280861904,22826.381612286637,148.22895425876354,26472.44703792715,148.75598665728404,0.1511638379209783,30.0,0.923809523809524,2494,208,-0.3177920022564167,0.0626909379464009,0.1765098690702705,94.23627970133803,34.384776310850235
5075.0,275.0,2658.0,191.0,15163.631013374617,218.38318356165703,20785.644814171643,183.2757661382759,22928.099538858794,146.21871859367752,24907.330186136194,142.3549172647297,28027.15333246622,147.66891193316468,0.1762617822134315,69.0,0.6219512195121951,2658,191,-0.4801852015168886,0.065268785009419,0.0439313372113771,93.5037930880394,69.65685424949238
5475.0,275.0,2902.0,237.0,14705.646123680666,232.1958896660486,19247.97810011851,171.62275559398662,21938.53181606942,145.4931295772214,25034.420468290027,142.11328516100036,28656.63108975595,148.21395113801108,0.1057279958627096,17.0,0.8916666666666667,2902,237,-0.4929298140858786,0.0633385302060001,0.0515495585692181,125.29388939267936,17.242640687119284
5875.0,275.0,3137.0,212.0,11828.472342849289,250.46251424787383,14734.804559129092,152.28875538073444,19193.24618691135,137.65261797086274,23909.102638719367,142.87256071691095,28409.92135169733,150.08004488523622,0.4411994723711515,65.0,1.3153153153153154,3137,212,-0.3896350594323365,0.059855781474735,0.0833720910590712,94.6544230918213,75.18376618407356
7075.0,275.0,3657.0,237.0,9611.81730953075,76.56904174316256,13622.818122274346,118.36566249058363,17277.59328151698,133.70082404013345,20771.49075821944,139.76620356782976,24397.391128753832,146.64576356362673,0.356441210403667,78.0,1.8271604938271604,3657,237,-0.2600647040579904,0.0617454027061543,0.1802798311240617,77.23964421689759,81.97056274847714
7475.0,275.0,3914.0,175.0,13364.635896375357,133.80300791078844,13583.257400841723,110.59122795202607,16145.464726455131,137.2811978686846,18734.495925927065,138.62416118192542,21602.823697906566,141.76788785729664,0.1941654272234186,76.0,0.726027397260274,3914,175,-0.3357803503785229,0.057148679379692,0.095466124300767,78.28846339614925,87.84062043356596
7675.0,275.0,4038.0,289.0,12392.032502500717,204.73711339482333,12228.10269778596,135.80576648896619,14672.052472227171,142.39712396703703,17150.502611087853,138.1800250419565,19831.459309699614,138.5738355876274,0.3121580761223723,63.0,0.890625,4038,289,-0.1938694100356918,0.0671860266430402,0.2404304757245934,71.64321807040943,76.91168824543144
1275.0,475.0,711.0,313.0,17612.03664287247,275.1467896924345,22861.53945071444,169.44759613107962,27274.84884662695,186.23550045146663,31369.673696199025,189.54635006473495,34950.089383198894,187.52260651066183,0.0190410877766122,52.0,1.3617021276595744,711,313,-0.3547628891812316,0.059233603231939,0.1054239461452155,91.09439757855776,53.89949493661167
