d100,g100,l100,d200,g200,l200,d300,g300,l300,d400,g400,l400,d500,g500,l500,Dipole,Elongation
46.27841354263861,0.31650124111819766,-0.0017298961520179686,29.902912238046422,0.09610279989664648,-0.000288614188357401,22.54933193269587,0.04483751117361521,-0.00012338547677906067,18.729553070358087,0.02644399191667188,-3.767114764809823e-05,17.21958326935843,0.021212605199144766,-1.0737238795874622e-05,0.6546043738057977,116.0
80.0405679597958,0.3884616123815479,-0.002442489889996371,50.03750556170497,0.12905339487691253,-0.0005534050807614378,38.16603166406262,0.07136965441623325,-0.00017083190030858767,32.273189069307335,0.04481421907992782,-7.277316148271281e-05,28.7510602967116,0.030624313504312346,-3.816355935327785e-05,0.2462886210059593,51.0
71.98360584226624,0.35232737735046593,-0.0013939612481050168,55.68002617688625,0.12435057146398616,-0.0004382813157391095,44.187086310387635,0.07224917308906398,-0.00021751727448632508,36.427369523502364,0.04692616610451566,-0.00010506813599904614,31.41139433472001,0.03194469751620741,-5.561817354295586e-05,0.0804161653935737,30.0
82.08489740832127,0.3849396912382762,-0.0016485640203036717,60.974571609722595,0.1316107594810121,-0.0004219756727959515,49.61428879194902,0.07259658732167311,-0.00021425808648574478,41.14704228178088,0.04781498758278347,-0.00012924753429955643,34.64077656032574,0.033256925589524325,-7.73781879707778e-05,0.0184375332334325,48.0
81.21522713021342,0.40034377798053455,-0.0019562366903372007,59.09374051020054,0.11688546690766201,-0.0003910668775831781,48.94577026217812,0.07262980465885162,-0.0001951132883556429,40.98147680683081,0.04880067883560823,-0.0001249494486027001,34.54094168203617,0.03405958428165755,-7.752805997784776e-05,0.0,40.0
73.79862737852451,0.40620361650096876,-0.0020728499689056795,52.78621834743513,0.10245606931684947,-0.00025339214911236977,45.65852604571621,0.07211066691719306,-0.00015245930648188043,38.92047440041264,0.04963610254606304,-0.0001110807987260421,33.11544069803612,0.03466986508478182,-6.983884078945006e-05,0.1351063766302338,54.0
63.380350439258414,0.364302076976587,-0.0020047544649600007,44.44434277382367,0.09431470367642793,-0.00015008366638496923,40.10273465420849,0.07073353224137222,-0.00010403646740714596,35.06919672291186,0.04954891414507272,-8.720274604075995e-05,30.48387817863396,0.03458993084876173,-5.4862247736042134e-05,0.1880034658214589,72.0
37.975840407288956,0.32692433255881115,-0.0021678137713367646,20.66978706987903,0.06834198009836054,-0.00013778680423561987,18.55454737787685,0.045758414150382926,-3.933651270753344e-06,18.8920701829835,0.03513583107381045,1.224487666254441e-05,19.56193640310508,0.027736983341108336,7.92441785317892e-06,0.387975557078747,61.0
62.18683208926049,0.398395811803169,-0.0025079372858697,31.81566473367772,0.115184402773356,-0.00052766767320327,20.989705726936396,0.05022173181694018,-0.00013243133571421247,17.22868810517624,0.02918649239724941,-2.694365721055588e-05,16.4525228175375,0.023395936202088526,6.347860900094842e-07,0.8907852905129832,117.0
37.607572169899775,0.33400857780901,-0.0023318348012299523,18.56282227766752,0.05418076287425594,-0.00011138110706417606,16.046195842190794,0.04124209404293523,-4.721692316515606e-05,13.895866020184293,0.028379403128315772,-3.489460286037781e-05,12.235043726189911,0.020174093207107495,-1.7688160632727095e-05,0.0037439904006402,103.0
45.088307355582955,0.32099823752262985,-0.0022285691468052118,21.97783335162383,0.07134140520120442,-0.0003028655826583275,16.793670607655496,0.03755926817231791,-4.6110481390392843e-05,15.097450535471694,0.02658625045369649,-1.9903081473234276e-05,14.104849825846124,0.021266832353672726,-9.568924857028666e-06,0.0342602934842889,59.0
70.03679458909077,0.3526309566159953,-0.002239341812221635,39.05419137565212,0.1105505362142752,-0.0006323921480290727,27.245784833168738,0.038984203061007555,-0.0001231858880347202,23.692203381244436,0.021571161768942998,-2.9386247298725937e-05,22.344106291916514,0.02004641095860294,-1.2132786334089302e-05,0.7101321883184188,111.0
79.65547865223735,0.3954920212240055,-0.0026207803576967824,47.067480650019895,0.12702288497270706,-0.0005135906358633652,36.95895713404903,0.059158126001655875,-0.0001231717190911825,32.453909170328586,0.03656791119541865,-5.358871942923627e-05,29.756370302413902,0.025492668422543097,-2.8274169916764108e-05,0.6672660127441346,83.0
88.31087300833816,0.34630967292364817,-0.0020312615036128714,59.06562135666254,0.11322475275834108,-0.0006202281299455707,44.720155048763196,0.0643623872600786,-0.00022148256654631844,36.99990756854113,0.04093336006058006,-9.317135582283792e-05,32.56367833659626,0.027457304943004936,-4.591311248028543e-05,0.0474633852364631,49.0
96.54740191054397,0.31026354904317105,-0.0015824288637967408,71.04756583648056,0.1148618655779463,-0.0006487030694424718,55.420052490960714,0.06518952511579727,-0.0002854369429254566,44.83164376167548,0.04345983743310776,-0.00015011671271896292,37.594137263140986,0.02935669741690168,-8.100461740696301e-05,0.3252209535203159,59.0
105.7283397484229,0.31242183416022584,-0.002121521281291661,75.0201403951415,0.10309137344678847,-0.0007165545977765451,58.20187668671744,0.06312314277460165,-0.0002977073930089818,46.963848879574805,0.04330110755533846,-0.0001631171993858873,38.94367113968604,0.029904722080570902,-9.150163334336425e-05,0.140499882034844,9.0
55.2369477961578,0.2698993233949438,-0.0009642085312163274,48.06777848332758,0.07611456485618161,-0.00020999830460281563,41.54549443196597,0.0647350030564916,-0.0001517048631519296,35.57776005220868,0.04640074351132087,-8.820406375088604e-05,31.246269187120024,0.03167701162833793,-4.707018719749986e-05,0.274982981769482,58.0
